Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1892-04-01,48,41,0.72,0,0
1892-04-02,52,40,0.56,0,0
1892-04-03,52,40,0.2,0,0
1892-04-04,54,42,0.06,0,0
1892-04-05,51,44,0.87,0,0
1892-04-06,49,40,0.06,0,0
1892-04-07,53,33,0,0,0
1892-04-08,52,44,0.12,0,0
1892-04-09,56,48,1,0,0
1892-04-10,52,41,0.3,0,0
1892-04-11,50,36,0.02,0,0
1892-04-12,49,36,0.49,0,0
1892-04-13,54,43,0.34,0,0
1892-04-14,54,46,0.71,0,0
1892-04-15,50,39,0.37,0,0
1892-04-16,51,40,0.03,0,0
1892-04-17,52,40,0.05,0,0
1892-04-18,52,45,0,0,0
1892-04-19,57,37,0,0,0
1892-04-20,67,41,0,0,0
1892-04-21,56,40,0.32,0,0
1892-04-22,55,42,0.04,0,0
1892-04-23,53,42,0.38,0,0
1892-04-24,50,42,0.92,0,0
1892-04-25,52,43,1.24,0,0
1892-04-26,54,41,0.02,0,0
1892-04-27,59,44,0.31,0,0
1892-04-28,58,45,0.46,0,0
1892-04-29,60,46,0.16,0,0
1892-04-30,52,44,0.52,0,0
1892-05-01,56,41,0.07,0,0
1892-05-02,63,40,0,0,0
1892-05-03,67,41,0,0,0
1892-05-04,64,45,0,0,0
1892-05-05,58,41,0,0,0
1892-05-06,59,43,0.2,0,0
1892-05-07,56,45,0.51,0,0
1892-05-08,56,41, T,0,0
1892-05-09,66,41,0,0,0
1892-05-10,60,48,0.22,0,0
1892-05-11,59,45,0.02,0,0
1892-05-12,58,44,0,0,0
1892-05-13,61,46,0,0,0
1892-05-14,62,47,0,0,0
1892-05-15,61,53,0.2,0,0
1892-05-16,62,49,0.65,0,0
1892-05-17,61,46,0.02,0,0
1892-05-18,63,45,0,0,0
1892-05-19,77,49,0,0,0
1892-05-20,79,55,0,0,0
1892-05-21,70,54,0,0,0
1892-05-22,68,53,0,0,0
1892-05-23,66,51,0,0,0
1892-05-24,68,52,0,0,0
1892-05-25,63,51, T,0,0
1892-05-26,60,53, T,0,0
1892-05-27,54,50,0.35,0,0
1892-05-28,56,52,1.32,0,0
1892-05-29,56,49,0.15,0,0
1892-05-30,58,49,0.13,0,0
1892-05-31,59,50,0,0,0
1892-06-01,57,44,0.33,0,0
1892-06-02,56,44,0.42,0,0
1892-06-03,56,48,0.05,0,0
1892-06-04,59,48,0.02,0,0
1892-06-05,60,47,0.13,0,0
1892-06-06,63,45, T,0,0
1892-06-07,61,47,0.04,0,0
1892-06-08,61,49,0.02,0,0
1892-06-09,61,44,0,0,0
1892-06-10,61,47,0,0,0
1892-06-11,60,54,0,0,0
1892-06-12,65,50,0,0,0
1892-06-13,68,47,0,0,0
1892-06-14,66,52,0,0,0
1892-06-15,64,52, T,0,0
1892-06-16,65,51,0,0,0
1892-06-17,65,54,0,0,0
1892-06-18,65,54,0.16,0,0
1892-06-19,62,55,0.13,0,0
1892-06-20,60,53,0,0,0
1892-06-21,60,50,0.11,0,0
1892-06-22,69,48,0,0,0
1892-06-23,77,52,0,0,0
1892-06-24,79,56,0,0,0
1892-06-25,68,55,0,0,0
1892-06-26,68,53,0,0,0
1892-06-27,79,55,0,0,0
1892-06-28,81,58,0,0,0
1892-06-29,66,56,0,0,0
1892-06-30,66,57,0.01,0,0
1892-07-01,65,56,0.34,0,0
1892-07-02,70,58,0.04,0,0
1892-07-03,63,56,0,0,0
1892-07-04,61,55,0,0,0
1892-07-05,62,50,0,0,0
1892-07-06,63,50,0.43,0,0
1892-07-07,70,47,0,0,0
1892-07-08,74,51,0,0,0
1892-07-09,67,51,0,0,0
1892-07-10,65,55,0,0,0
1892-07-11,65,53,0.58,0,0
1892-07-12,65,52,0.05,0,0
1892-07-13,68,54,0.09,0,0
1892-07-14,68,53,0,0,0
1892-07-15,67,57,0.03,0,0
1892-07-16,65,54,0.19,0,0
1892-07-17,65,55,0.1,0,0
1892-07-18,64,50,0,0,0
1892-07-19,66,53,0,0,0
1892-07-20,66,49,0,0,0
1892-07-21,66,54,0.06,0,0
1892-07-22,66,54,0.03,0,0
1892-07-23,66,53,0,0,0
1892-07-24,65,55,0,0,0
1892-07-25,67,57,0.02,0,0
1892-07-26,67,56,0,0,0
1892-07-27,68,56,0,0,0
1892-07-28,67,58,0,0,0
1892-07-29,66,59,0,0,0
1892-07-30,66,59,0.02,0,0
1892-07-31,68,59,0.02,0,0
1892-08-01,67,59,0,0,0
1892-08-02,66,57,0,0,0
1892-08-03,70,54,0,0,0
1892-08-04,71,58,0,0,0
1892-08-05,66,58,0,0,0
1892-08-06,67,59,0.01,0,0
1892-08-07,66,56,0,0,0
1892-08-08,68,57,0,0,0
1892-08-09,70,58,0,0,0
1892-08-10,66,56,0,0,0
1892-08-11,65,57,0.12,0,0
1892-08-12,70,57,0.02,0,0
1892-08-13,65,58,1.02,0,0
1892-08-14,68,57,0.08,0,0
1892-08-15,65,57,0,0,0
1892-08-16,66,52,0,0,0
1892-08-17,73,51,0,0,0
1892-08-18,75,56,0,0,0
1892-08-19,72,55,0,0,0
1892-08-20,66,56,0,0,0
1892-08-21,69,57,0,0,0
1892-08-22,69,55,0,0,0
1892-08-23,65,53,0.03,0,0
1892-08-24,66,56,0.01,0,0
1892-08-25,68,53,0,0,0
1892-08-26,67,55,0,0,0
1892-08-27,71,58,0,0,0
1892-08-28,77,55,0,0,0
1892-08-29,75,54,0,0,0
1892-08-30,68,56,0,0,0
1892-08-31,65,50,0,0,0
1892-09-01,64,48,0,0,0
1892-09-02,64,54,0,0,0
1892-09-03,68,49,0,0,0
1892-09-04,67,49,0,0,0
1892-09-05,64,50,0.25,0,0
