Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1944-06-01,93,66,0, M, M
1944-06-02,96,71,0, M, M
1944-06-03,97,70,0, M, M
1944-06-04,96,69,0, M, M
1944-06-05,82,69, T, M, M
1944-06-06,88,69,1.21, M, M
1944-06-07,88,65,0, M, M
1944-06-08,84,57,0, M, M
1944-06-09,85,66,0, M, M
1944-06-10,88,66,0.05, M, M
1944-06-11,91,69,0, M, M
1944-06-12,88,69,0.06, M, M
1944-06-13,87,66,0.27, M, M
1944-06-14,94,69,0, M, M
1944-06-15,96,70,0, M, M
1944-06-16,99,71,0, M, M
1944-06-17,98,74,0, M, M
1944-06-18,100,76,0, M, M
1944-06-19,101,74,0.96, M, M
1944-06-20,90,69,0, M, M
1944-06-21,89,60,0, M, M
1944-06-22,99,66,0, M, M
1944-06-23,101,77,0, M, M
1944-06-24,99,78,0, M, M
1944-06-25,94,66,0, M, M
1944-06-26,95,70,0, M, M
1944-06-27,93,70,0, M, M
1944-06-28,89,69,0, M, M
1944-06-29,93,71,0, M, M
1944-06-30,89,72,0.26, M, M
1944-07-01,95,66,0.03, M, M
1944-07-02,79,70, T, M, M
1944-07-03,80,65,0.03, M, M
1944-07-04,82,60,0, M, M
1944-07-05,80,64,0.02, M, M
1944-07-06,83,68, T, M, M
1944-07-07,85,60,0.05, M, M
1944-07-08,89,62,0.11, M, M
1944-07-09,87,66,0, M, M
1944-07-10,90,67,0, M, M
1944-07-11,89,69,0.12, M, M
1944-07-12,88,70,0, M, M
1944-07-13,88,72, T, M, M
1944-07-14,88,72,0.02, M, M
1944-07-15,88,72,0.45, M, M
1944-07-16,96,70,0, M, M
1944-07-17,100,72,0, M, M
1944-07-18,98,72,0, M, M
1944-07-19,85,72,0.09, M, M
1944-07-20,91,66,0.05, M, M
1944-07-21,87,68,0.02, M, M
1944-07-22,86,66,0, M, M
1944-07-23,90,65,0, M, M
1944-07-24,92,66,0, M, M
1944-07-25,96,66,0, M, M
1944-07-26,95,70,0, M, M
1944-07-27,98,76,0, M, M
1944-07-28,95,74, T, M, M
1944-07-29,96,70,0, M, M
1944-07-30,93,71,0.33, M, M
1944-07-31,76,68,0.38, M, M
1944-08-01,76,70,0.01, M, M
1944-08-02,84,70,0, M, M
1944-08-03,89,70,0, M, M
1944-08-04,87,71, T, M, M
1944-08-05,89,71,0.11, M, M
1944-08-06,88,70,0.55, M, M
1944-08-07,88,72,0.06, M, M
1944-08-08,92,72,0, M, M
1944-08-09,83,70,0, M, M
1944-08-10,84,67,0, M, M
1944-08-11,88,64,0, M, M
1944-08-12,91,68,0, M, M
1944-08-13,95,72,0.13, M, M
1944-08-14,90,71,0.46, M, M
1944-08-15,81,69,0.11, M, M
1944-08-16,80,71,0.04, M, M
1944-08-17,90, M,0.28, M, M
1944-08-18,90,70,0, M, M
1944-08-19,90,71,0, M, M
1944-08-20,87,66,0, M, M
1944-08-21,86,68,0, M, M
1944-08-22,88,65,0, M, M
1944-08-23,93,71,0, M, M
1944-08-24,93,70,0, M, M
1944-08-25,96, M,0, M, M
1944-08-26,84,67,0.33, M, M
1944-08-27,71, M,0.29, M, M
1944-08-28,61,57,0.01, M, M
1944-08-29,67,57,0, M, M
1944-08-30,84,64,0.35, M, M
1944-08-31,86,67,0.15, M, M
1944-09-01,91, M,0.17, M, M
1944-09-02,92,70, M, M, M
1944-09-03,95,71, M, M, M
1944-09-04,96,71, M, M, M
1944-09-05,96,70, M, M, M
1944-09-06,91,71,0.9, M, M
1944-09-07,88,69, M, M, M
1944-09-08,73,58, M, M, M
1944-09-09,77,58, M, M, M
1944-09-10,70,61,0.06, M, M
1944-09-11,66,59,2.11, M, M
1944-09-12,77,62,0.25, M, M
1944-09-13,85,62, M, M, M
1944-09-14,93,60, M, M, M
1944-09-15,85,59, M, M, M
1944-09-16,84,63, M, M, M
1944-09-17,80,61, M, M, M
1944-09-18,76,65, M, M, M
1944-09-19,86,67,1.35, M, M
1944-09-20,88,66, M, M, M
1944-09-21,77,67, M, M, M
1944-09-22,80,66, M, M, M
1944-09-23,82,57, M, M, M
1944-09-24,72, M, T, M, M
1944-09-25,74,57, T, M, M
1944-09-26,81,60, M, M, M
1944-09-27,84,62, M, M, M
1944-09-28,84,64, M, M, M
1944-09-29,87,71,0.19, M, M
1944-09-30,83, M, T, M, M
1944-10-01,82,64,0, M, M
1944-10-02,85,62,0, M, M
1944-10-03,85,62,0, M, M
1944-10-04,85,62,0, M, M
1944-10-05,85,64,0, M, M
1944-10-06,89,69, T, M, M
1944-10-07,87,65,0.84, M, M
1944-10-08,80,51,0, M, M
1944-10-09,75,44,0, M, M
1944-10-10,71,43,0, M, M
1944-10-11,69,50,0, M, M
1944-10-12,61,51,0, M, M
1944-10-13,59,49,0.48, M, M
1944-10-14,75,47,0, M, M
1944-10-15,77,48,0, M, M
1944-10-16,66,42,0, M, M
1944-10-17,75,40,0, M, M
1944-10-18,72,44,0, M, M
1944-10-19,64,55,0.69, M, M
1944-10-20,75,53,0.57, M, M
1944-10-21,74,48,0, M, M
1944-10-22,69,47,0, M, M
1944-10-23,70,43,0, M, M
1944-10-24,75,41,0, M, M
1944-10-25,81,47,0, M, M
1944-10-26,83,51,0, M, M
1944-10-27,67,42,0, M, M
1944-10-28,72,36,0, M, M
1944-10-29,84,44,0, M, M
1944-10-30,75,42,0, M, M
1944-10-31,75,47,0, M, M
1944-11-01,73,53,0, M, M
1944-11-02,72,51,0, M, M
1944-11-03,61,51,0, M, M
1944-11-04,74,51,0, M, M
1944-11-05,70,42,0, M, M
1944-11-06,65,36,0, M, M
1944-11-07,68,37,0, M, M
1944-11-08,72,39,0, M, M
1944-11-09,62,50,0.19, M, M
1944-11-10,63,44,0, M, M
1944-11-11,68,40,0, M, M
1944-11-12,71,35,0, M, M
1944-11-13,69,38,0, M, M
1944-11-14,67,43, T, M, M
1944-11-15,69,56,0.02, M, M
1944-11-16,67,48,0, M, M
1944-11-17,60,42,0, M, M
1944-11-18,57,36,0, M, M
1944-11-19,45,40,0.95, M, M
1944-11-20,49,39,0.03, M, M
1944-11-21,50,34,0, M, M
1944-11-22,54,33,0, M, M
1944-11-23,55,31,0, M, M
1944-11-24,53,33,0, M, M
1944-11-25,43,37, T, M, M
1944-11-26,46,36,0.02, M, M
1944-11-27,56,36,0.65, M, M
1944-11-28,56,32,0.03, M, M
1944-11-29,48,34,0.28, M, M
1944-11-30,48,29,0, M, M
1944-12-01,48,26,0, M, M
1944-12-02,43,21,0, M, M
1944-12-03,48,20,0, M, M
1944-12-04,49,23,0, M, M
1944-12-05,52,28,0, M, M
1944-12-06,48,32,0, M, M
1944-12-07,43,37,1.45, M, M
1944-12-08,50,34,0.03, M, M
1944-12-09,54,31,0, M, M
1944-12-10,50,32,0, M, M
1944-12-11,44,29,0.41, M, M
1944-12-12,34,27, T, M, M
1944-12-13,36,24, T, M, M
1944-12-14,35,24,0, M, M
1944-12-15,47,19,0, M, M
1944-12-16,48,26,0, M, M
1944-12-17,54,28,0, M, M
1944-12-18,55,32,0.2, M, M
1944-12-19,45,28,0, M, M
1944-12-20,52,20,0, M, M
1944-12-21,59,30,0, M, M
1944-12-22,49,34, T, M, M
1944-12-23,45,32,0.01, M, M
1944-12-24,48,37,0, M, M
1944-12-25,68,44, T, M, M
1944-12-26,64,44,0.01, M, M
1944-12-27,45,31,0.11, M, M
1944-12-28,56,31, T, M, M
1944-12-29,45,35,0.03, M, M
1944-12-30,44,35,0.06, M, M
1944-12-31,62,42,0.01, M, M
1945-01-01,62,25,0.5, M, M
1945-01-02,43,21,0, M, M
1945-01-03,50,28, T, M, M
1945-01-04,53,34, T, M, M
1945-01-05,57,29,0, M, M
1945-01-06,48,31,0.36, M, M
1945-01-07,52,42,0.23, M, M
1945-01-08,55,39,0.01, M, M
1945-01-09,46,30,0.13, M, M
1945-01-10,46,24,0, M, M
1945-01-11,53,26,0, M, M
1945-01-12,57,31,0.18, M, M
1945-01-13,60,40,0.3, M, M
1945-01-14,61,35,0, M, M
1945-01-15,57,38,0.02, M, M
1945-01-16,47,30,0, M, M
1945-01-17,53,25,0, M, M
1945-01-18,55,31,0, M, M
1945-01-19,45,39,0.54, M, M
1945-01-20,61,38,0, M, M
1945-01-21,46,41,0.01, M, M
1945-01-22,59,41,0.05, M, M
1945-01-23,47,34,0, M, M
1945-01-24,61,35,0, M, M
1945-01-25,53,35,0, M, M
1945-01-26,61,35,0.03, M, M
1945-01-27,58,30,0, M, M
1945-01-28,61,43,0.02, M, M
1945-01-29,50,29,0, M, M
1945-01-30,50,24,0, M, M
1945-01-31,42,22,0, M, M
1945-02-01,42,16, M, M, M
1945-02-02,49,20, M, M, M
1945-02-03,42,28, T, M, M
1945-02-04,39,35,0.62, M, M
1945-02-05,51,37,0.13, M, M
1945-02-06,44,37,0.06, M, M
1945-02-07,43,38,0.1, M, M
1945-02-08,42,30,0.01, M, M
1945-02-09,60,28, M, M, M
1945-02-10,65,33, M, M, M
1945-02-11,66,46, M, M, M
1945-02-12,55,46,2.08, M, M
1945-02-13,66,46,1.82, M, M
1945-02-14,67,40, M, M, M
1945-02-15,74,44, M, M, M
1945-02-16,75,53,0.11, M, M
1945-02-17,73,56,1.06, M, M
1945-02-18,56,40,0.05, M, M
1945-02-19,52,40, M, M, M
1945-02-20,41,35,0.3, M, M
1945-02-21,48,37,0.26, M, M
1945-02-22,64,43,0.79, M, M
1945-02-23,59,37, M, M, M
1945-02-24,63,36, M, M, M
1945-02-25,61,35, T, M, M
1945-02-26,64,47,0.08, M, M
1945-02-27,72,59,0.01, M, M
1945-02-28,71,40,0.09, M, M
1945-03-01,63,33,0, M, M
1945-03-02,75,42,0, M, M
1945-03-03,67,56,0.06, M, M
1945-03-04,61,54,0.39, M, M
1945-03-05,57,53,0.07, M, M
1945-03-06,79,48, T, M, M
1945-03-07,65,44,0, M, M
1945-03-08,59,43,0, M, M
1945-03-09,64,35,0, M, M
1945-03-10,69,37,0, M, M
1945-03-11,69,37,0, M, M
1945-03-12,65,46,0.14, M, M
1945-03-13,61,51,0.03, M, M
1945-03-14,56,52,0.05, M, M
1945-03-15,75,52,0, M, M
1945-03-16,82, M,0, M, M
1945-03-17,85,62,0, M, M
1945-03-18,83,60,0.01, M, M
1945-03-19,85,59,0, M, M
1945-03-20, M,61,0.63, M, M
1945-03-21,61,41,0.05, M, M
1945-03-22,65,39,0, M, M
1945-03-23,77,39,0, M, M
