Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1930-01-01,72,46,0,0,0
1930-01-02,67, M,0.67,0,0
1930-01-03,56,43,0.04,0,0
1930-01-04,58,34,0,0,0
1930-01-05,66,34,0,0,0
1930-01-06,72,53,0.01,0,0
1930-01-07,75,63,0.03,0,0
1930-01-08,77,63,0.01,0,0
1930-01-09,76,64,0,0,0
1930-01-10,68,47,0.01,0,0
1930-01-11,66,50,0,0,0
1930-01-12,75,58,0,0,0
1930-01-13,76,63,0,0,0
1930-01-14,68,60,0.11,0,0
1930-01-15,60,50,0.9,0,0
1930-01-16,50,34,0,0,0
1930-01-17,43,32,0,0,0
1930-01-18,36,24,0.4,0,0
1930-01-19,42,17,0,0,0
1930-01-20,56,38,0,0,0
1930-01-21,59,42,1.43,0,0
1930-01-22,42, M,1.75,0,0
1930-01-23,38,18,0,0,0
1930-01-24,46,22,0,0,0
1930-01-25,44,30,0,0,0
1930-01-26,62,34,0,0,0
1930-01-27,70,42,0.02,0,0
1930-01-28,62,55,1,0,0
1930-01-29,58,40,2.65,0,0
1930-01-30,48,28,0,0,0
1930-01-31,57,29,0,0,0
1930-02-01,62,37,0,0,0
1930-02-02,65,54,0.04,0,0
1930-02-03,70,55,0.01,0,0
1930-02-04,68,58,1.06,0,0
1930-02-05,66,49,0,0,0
1930-02-06,65,43,0,0,0
1930-02-07,67,40,0,0,0
1930-02-08,70,47,0,0,0
1930-02-09,70,48,0,0,0
1930-02-10,64,50,0,0,0
1930-02-11,70,48,0,0,0
1930-02-12,69,58,0,0,0
1930-02-13,73,60,0,0,0
1930-02-14,71,53,0,0,0
1930-02-15,65,53,0.24,0,0
1930-02-16,58,32,0.18,0,0
1930-02-17,63,36,0,0,0
1930-02-18,68,39,0,0,0
1930-02-19,71,43,0,0,0
1930-02-20,75,48,0,0,0
1930-02-21,74,57,0,0,0
1930-02-22,71,61,0,0,0
1930-02-23,77,63,0.04,0,0
1930-02-24,79,61, T,0,0
1930-02-25,81,66,0,0,0
1930-02-26,71,58,0.3,0,0
1930-02-27,68,55,0,0,0
1930-02-28,72,53,0.69,0,0
1930-03-01,70,58,0,0,0
1930-03-02,62,43,2.76,0,0
1930-03-03,52,36,0,0,0
1930-03-04,58,36,0,0,0
1930-03-05,71,46,0,0,0
1930-03-06,70,56,0,0,0
1930-03-07,67,60,0.04,0,0
1930-03-08,64,48,0,0,0
1930-03-09,70,46,0,0,0
1930-03-10,71,54,0,0,0
1930-03-11,67,56,0.25,0,0
1930-03-12,70,51,0,0,0
1930-03-13,72,51,0,0,0
1930-03-14,69,54,0.18,0,0
1930-03-15,66,60,0.15,0,0
1930-03-16,67,60,0.06,0,0
1930-03-17,76,61,0,0,0
1930-03-18,74,65,0.03,0,0
1930-03-19,74,56,0.06,0,0
1930-03-20,74,50,0,0,0
1930-03-21,68,53, T,0,0
1930-03-22,60,52,0.76,0,0
1930-03-23,71,54,0.16,0,0
1930-03-24,72,54,0.01,0,0
1930-03-25,63,48,0.11,0,0
1930-03-26,59,42,0,0,0
1930-03-27,59,44,0,0,0
1930-03-28,53,42,0.33,0,0
1930-03-29,60,40,0.01,0,0
1930-03-30,65,42,0,0,0
1930-03-31,70,47,0,0,0
1930-04-01,78,52,0,0,0
1930-04-02,78,62, T,0,0
1930-04-03,79,66,0.32,0,0
1930-04-04,77,62,0,0,0
1930-04-05,78,59,0.83,0,0
1930-04-06,78,58,0,0,0
1930-04-07,84,57,0,0,0
1930-04-08,83,60,0,0,0
1930-04-09,82,58,0,0,0
1930-04-10,82,56,0,0,0
1930-04-11,81,54,0,0,0
1930-04-12,82,58,0,0,0
1930-04-13,82,60,0,0,0
1930-04-14,82,60,0,0,0
1930-04-15,83,62,0,0,0
1930-04-16,84,68,0,0,0
1930-04-17,75,64,0.86,0,0
1930-04-18,84,60,0,0,0
1930-04-19,81,57,0,0,0
1930-04-20,82,58,0,0,0
1930-04-21,86,60,0,0,0
1930-04-22,87,64,0,0,0
1930-04-23,86,66,0,0,0
1930-04-24,79,62,0,0,0
1930-04-25,80,57,0,0,0
1930-04-26,82,61,0,0,0
1930-04-27,85,60,0,0,0
1930-04-28, M,66,0,0,0
1930-04-29, M,67,0,0,0
1930-04-30,85,66, T,0,0
1930-05-01, M,64,0,0,0
1930-05-02, M,67,0,0,0
1930-05-03, M,68,0,0,0
1930-05-04, M,68,0,0,0
1930-05-05, M,68,0,0,0
1930-05-06, M,68,0,0,0
1930-05-07, M,74,0,0,0
1930-05-08, M,75,0,0,0
1930-05-09, M,76,0,0,0
1930-05-10, M,74,0,0,0
1930-05-11, M,68,0,0,0
1930-05-12, M,70,0,0,0
1930-05-13, M,70,0,0,0
1930-05-14, M,70,0.03,0,0
1930-05-15, M,69,0,0,0
1930-05-16, M,70,0,0,0
1930-05-17, M,72,0.01,0,0
1930-05-18, M,75, T,0,0
1930-05-19, M,70,3.6,0,0
1930-05-20, M,66,2.14,0,0
