Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1936-01-01,35,21,0,0,0
1936-01-02,35,21,0.21, T,0
1936-01-03,54,35,1.39,0,0
1936-01-04,46,35, T,0,0
1936-01-05,43,33,0.9, T,0
1936-01-06,40,31,0.05, T, T
1936-01-07,41,32,0.06,0.1, T
1936-01-08,40,28,0,0,0
1936-01-09,39,29,0.22, T, T
1936-01-10,44,37,0.6, T,0
1936-01-11,43,34,0,0,0
1936-01-12,42,32,0.01,0.1,0
1936-01-13,50,32,0.09, T, T
1936-01-14,36,26,0,0,0
1936-01-15,50,28,1.06,0,0
1936-01-16,46,29, T,0,0
1936-01-17,33,17,0,0,0
1936-01-18,35,15,0.35,2.5,3
1936-01-19,29,17,1.46,10,11
1936-01-20,26,16, T, T,10
1936-01-21,28,15,0,0,8
1936-01-22,38,21, T,0,8
1936-01-23,41,9,0.01, T,7
1936-01-24,18,7,0,0,6
1936-01-25,25,9,0,0,5
1936-01-26,27,7,0,0,5
1936-01-27,17,10,0.03,0.3,5
1936-01-28,22,8,0.02,0.2,5
1936-01-29,25,9,0,0,5
1936-01-30,23,4,0,0,4
1936-01-31,24,5,0,0,4
1936-02-01,23,8,0,0,4
1936-02-02,18,9,0,0,4
1936-02-03,26,7, T, T,4
1936-02-04,37,21,0.26,0.5,4
1936-02-05,35,13,0,0,4
1936-02-06,24,8,0,0,4
1936-02-07,19,11,0,0,4
1936-02-08,26,6,0,0,4
1936-02-09,35,14,0.25,2,6
1936-02-10,21,7,0,0,6
1936-02-11,23,7,0,0,5
1936-02-12,25,14,0,0,5
1936-02-13,23,15,0.02,0,5
1936-02-14,30,19,1.46,9.1,14
1936-02-15,32,20, T, T,12
1936-02-16,34,22,0.01, T,11
1936-02-17,38,34,1.3,0,6
1936-02-18,40,6,0.34,1,5
1936-02-19,16,4,0,0,5
1936-02-20,26,8,0,0,5
1936-02-21,31,11,0,0,5
1936-02-22,28,16,0,0,5
1936-02-23,32,14,0,0,5
1936-02-24,32,15, T, T,4
1936-02-25,38,30,0.01,0,4
1936-02-26,46,36,0,0,3
1936-02-27,39,33,0.01,0,2
1936-02-28,39,22,0,0,2
1936-02-29,37,19,0,0,1
1936-03-01,33,23,0,0,1
1936-03-02,31,16,0,0,1
1936-03-03,36,30,0.7,2.7,1
1936-03-04,49,30,0,0, T
1936-03-05,41,30,0.14,0.4, T
1936-03-06,33,22,0,0.2, T
1936-03-07,28,15,0,0, T
1936-03-08,34,17,0,0, T
1936-03-09,49,30, T, T, T
1936-03-10,50,36, T,0, T
1936-03-11,45,37,0.36,0, T
1936-03-12,54,40,1.55,0,0
1936-03-13,47,35, T, T,0
1936-03-14,47,34, T, T,0
1936-03-15,49,37, T,0,0
1936-03-16,59,34, T,0,0
1936-03-17,63,44,0,0,0
1936-03-18,51,43,1.51,0,0
1936-03-19,52,40,0.09,0,0
1936-03-20,58,40, T,0,0
1936-03-21,57,40,0.54,0,0
1936-03-22,47,37,0.02,0,0
1936-03-23,58,38,0,0,0
1936-03-24,46,40,0.01,0,0
1936-03-25,42,38,0.4,0,0
1936-03-26,57,40,0,0,0
1936-03-27,50,38,0.82,0,0
1936-03-28,59,41,0.26,0,0
1936-03-29,68,38,0,0,0
1936-03-30,60,46,0,0,0
1936-03-31,70,37,0,0,0
1936-04-01,48,33,0,0,0
1936-04-02,39,34,1.15, T,0
1936-04-03,46,33,0.11,0,0
1936-04-04,46,29,0,0,0
1936-04-05,53,35,0.01,0,0
1936-04-06,58,42,0.54,0,0
1936-04-07,47,38,0.16,0,0
1936-04-08,47,34,0,0,0
1936-04-09,56,32, T,0,0
1936-04-10,42,38,0.3,0,0
1936-04-11,41,35,0.49,0,0
1936-04-12,39,35,0.01,0,0
1936-04-13,46,36,0.03, T,0
1936-04-14,60,38,0,0,0
1936-04-15,45,39,0.33,0,0
1936-04-16,52,38,0.06,0,0
1936-04-17,50,39,0,0,0
1936-04-18,51,39, T,0,0
1936-04-19,54,39, T,0,0
1936-04-20,59,39,0,0,0
1936-04-21,70,43,0.3,0,0
1936-04-22,51,37,0,0,0
1936-04-23,59,33,0,0,0
1936-04-24,48,36,0,0,0
1936-04-25,51,32,0,0,0
1936-04-26,59,42,0.03,0,0
1936-04-27,49,38,0,0,0
1936-04-28,59,37, T,0,0
1936-04-29,76,54, T,0,0
1936-04-30,80,58,0.02,0,0
1936-05-01,77,58,0,0,0
1936-05-02,81,55,0,0,0
1936-05-03,73,61,0.49,0,0
1936-05-04,61,44,0.59,0,0
1936-05-05,60,47, T,0,0
1936-05-06,62,47,0,0,0
1936-05-07,65,50, T,0,0
1936-05-08,83,55,0,0,0
1936-05-09,80,47, T,0,0
1936-05-10,50,44,0,0,0
1936-05-11,71,44,0,0,0
1936-05-12,78,53,0.05,0,0
1936-05-13,81,57, T,0,0
1936-05-14,62,48,0.04,0,0
1936-05-15,67,42,0.01,0,0
1936-05-16,56,34,0.01,0,0
1936-05-17,72,46,0.02,0,0
1936-05-18,91,61, T,0,0
1936-05-19,78,58, T,0,0
1936-05-20,63,48,0,0,0
1936-05-21,65,43,0,0,0
1936-05-22,58,42,0,0,0
1936-05-23,85,47,0,0,0
1936-05-24,91,65,0,0,0
1936-05-25,79,59,0,0,0
1936-05-26,71,54,0,0,0
1936-05-27,71,53,0.49,0,0
1936-05-28,64,49,0,0,0
1936-05-29,70,45,0,0,0
1936-05-30,67,51,0,0,0
1936-05-31,72,48,0,0,0
1936-06-01,83,53,0,0,0
1936-06-02,84,63,0,0,0
1936-06-03,83,63, T,0,0
1936-06-04,80,64, T,0,0
1936-06-05,74,61,0,0,0
1936-06-06,74,59,0,0,0
1936-06-07,74,56,0,0,0
1936-06-08,67,55, T,0,0
1936-06-09,67,55, T,0,0
1936-06-10,69,55, T,0,0
1936-06-11,78,58, T,0,0
1936-06-12,72,59,0.13,0,0
1936-06-13,61,58,0.07,0,0
1936-06-14,59,57,1.07,0,0
1936-06-15,62,57,0.79,0,0
1936-06-16,76,58, T,0,0
1936-06-17,79,52,0,0,0
1936-06-18,74,59,0.12,0,0
1936-06-19,76,65,0,0,0
1936-06-20,80,63, T,0,0
1936-06-21,84,61,0.01,0,0
1936-06-22,74,53,0,0,0
1936-06-23,70, M,0,0,0
1936-06-24, M,54,0.14,0,0
1936-06-25,81,55,0,0,0
1936-06-26,85,63, T,0,0
1936-06-27,73,63,0.02,0,0
1936-06-28,78,61,0.02,0,0
1936-06-29,71,56, T,0,0
1936-06-30,76,55,0,0,0
1936-07-01,80,57,0,0,0
1936-07-02,76,60,0,0,0
1936-07-03,74,61,0,0,0
1936-07-04,85,63, T,0,0
1936-07-05,80,59,0.03,0,0
1936-07-06,71,58, T,0,0
1936-07-07,89,61,0,0,0
1936-07-08,98,69, T,0,0
1936-07-09,83,66,0.48,0,0
1936-07-10,88,63,0.17,0,0
1936-07-11,71,63,0.14,0,0
1936-07-12,74,63, T,0,0
1936-07-13,80,63, T,0,0
1936-07-14,94,68, T,0,0
1936-07-15,79,66,0,0,0
1936-07-16,79,62,0,0,0
1936-07-17,80,60, T,0,0
1936-07-18,74,64,0.04,0,0
1936-07-19,74,61, T,0,0
1936-07-20,74,61,0.11,0,0
1936-07-21,68,58,0,0,0
1936-07-22,72,62,0,0,0
1936-07-23,81,62,0,0,0
1936-07-24,77,66,0.04,0,0
1936-07-25,80,61,0,0,0
1936-07-26,79,57,0,0,0
1936-07-27,83,60,0,0,0
1936-07-28,92,64,0,0,0
1936-07-29,88,69,0.01,0,0
1936-07-30,78,64, T,0,0
1936-07-31,80,58,0,0,0
1936-08-01,83,63,0,0,0
1936-08-02,92,67,0,0,0
1936-08-03,87,65,0,0,0
1936-08-04,92,69,0.4,0,0
1936-08-05,74,61,0,0,0
1936-08-06,63,58,0.62,0,0
1936-08-07,72,57,0,0,0
1936-08-08,78,60,0,0,0
1936-08-09,74,59,0,0,0
1936-08-10,85,61,0,0,0
1936-08-11,81,65,0,0,0
1936-08-12,77,62,0,0,0
1936-08-13,92,64, T,0,0
1936-08-14,79,66,0.01,0,0
1936-08-15,85,65,0.04,0,0
1936-08-16,94,76,0,0,0
1936-08-17,89,62,0.31,0,0
1936-08-18,71,56,0,0,0
1936-08-19,83,60,0,0,0
1936-08-20,74,62,0.35,0,0
1936-08-21,71,56,0.25,0,0
1936-08-22,59,54,1.03,0,0
1936-08-23,82,59, T,0,0
1936-08-24,86,71, T,0,0
1936-08-25,81,60, T,0,0
1936-08-26,69,57,0.05,0,0
1936-08-27,71,60, T,0,0
1936-08-28,69,55,0,0,0
1936-08-29,63,57,0.65,0,0
1936-08-30,68,59,1.44,0,0
1936-08-31,75,58, T,0,0
1936-09-01,72,56,0,0,0
1936-09-02,69,53,0.02,0,0
1936-09-03,73,59,0.08,0,0
1936-09-04,69,55, T,0,0
1936-09-05,64,53,0,0,0
1936-09-06,77,52,0,0,0
1936-09-07,80,59, T,0,0
1936-09-08,90,71,0.05,0,0
1936-09-09,73,61,0,0,0
1936-09-10,69,60, T,0,0
1936-09-11,70,59,0.01,0,0
1936-09-12,80,63,0.09,0,0
1936-09-13,70,57,0,0,0
1936-09-14,62,50,0,0,0
1936-09-15,62,53, T,0,0
1936-09-16,78,60,0,0,0
1936-09-17,75,61,0,0,0
1936-09-18,62,54,2.1,0,0
1936-09-19,72,53,1.21,0,0
1936-09-20,66,51,0,0,0
1936-09-21,65,57,0.1,0,0
1936-09-22,75,62,0,0,0
1936-09-23,77,63,0,0,0
1936-09-24,73,62,0.1,0,0
1936-09-25,63,45,0.02,0,0
1936-09-26,59,41,0,0,0
1936-09-27,71,50,0,0,0
1936-09-28,73,50, T,0,0
1936-09-29,54,43, T,0,0
1936-09-30,56,43,0.01,0,0
1936-10-01,56,50,1.63,0,0
1936-10-02,65,51,0,0,0
1936-10-03,64,44,0,0,0
1936-10-04,61,44,0,0,0
1936-10-05,72,50,0,0,0
1936-10-06,66,50,0,0,0
1936-10-07,70,55,0.01,0,0
1936-10-08,77,60,0,0,0
1936-10-09,69,53,0,0,0
1936-10-10,71,56,0.03,0,0
1936-10-11,74,56,0,0,0
1936-10-12,63,40, T,0,0
1936-10-13,48,36,0,0,0
1936-10-14,53,42, T,0,0
1936-10-15,66,50,0,0,0
1936-10-16,72,58, T,0,0
1936-10-17,65,56,0.67,0,0
1936-10-18,62,43,0.02,0,0
1936-10-19,59,43,0,0,0
1936-10-20,76,48,0,0,0
1936-10-21,79,58,0,0,0
1936-10-22,75,60, T,0,0
1936-10-23,63,47,0.13,0,0
1936-10-24,52,42,0.12,0,0
1936-10-25,56,37,0,0,0
1936-10-26,59,30,0.06,0,0
1936-10-27,41,25,0,0,0
1936-10-28,50,28,0,0,0
1936-10-29,56,42, T,0,0
1936-10-30,56,41,0,0,0
1936-10-31,51,35,0,0,0
1936-11-01,65,45,0,0,0
1936-11-02,63,50, T,0,0
1936-11-03,75,61, T,0,0
1936-11-04,66,48,0.37,0,0
1936-11-05,52,36,0.13,0,0
1936-11-06,46,33,0,0,0
1936-11-07,46,38, T,0,0
1936-11-08,54,44,0.39,0,0
1936-11-09,50,40, T,0,0
1936-11-10,51,28,0,0,0
1936-11-11,45,25,0,0,0
1936-11-12,54,36,0,0,0
1936-11-13,51,41,0,0,0
1936-11-14,55,35,0,0,0
1936-11-15,54,41,0.08,0,0
1936-11-16,41,20, T, T,0
1936-11-17,47,17,0,0,0
1936-11-18,48,14,0.01, T,0
1936-11-19,33,14,0,0,0
1936-11-20,42,32, T,0,0
1936-11-21,62,42,0,0,0
1936-11-22,46,31,0,0,0
1936-11-23,35,26,0,0,0
1936-11-24,29,24,0.21,3.8,4
1936-11-25,42,21,0.06,0, T
1936-11-26,41,29,0.04,0, T
1936-11-27,30,18,0,0,0
1936-11-28,33,16,0.04,0.6,1
1936-11-29,40,28,0,0, T
1936-11-30,28,13,0,0, T
1936-12-01,26,10, T, T, T
1936-12-02,45,26,0.64,0,0
1936-12-03,47,35,0.51,0,0
1936-12-04,37,33, T, T,0
1936-12-05,38,24,0,0,0
1936-12-06,53,24,0.18,0,0
1936-12-07,54,18,0.33,0,0
1936-12-08,31,12,0,0,0
1936-12-09,33,24, T,0,0
1936-12-10,45,32,1.81,0,0
1936-12-11,44,39,1.52,0,0
1936-12-12,44,34,0.41, T, T
1936-12-13,35,28,0.15,0.7, T
1936-12-14,39,26,0,0, T
1936-12-15,49,36,0,0,0
1936-12-16,45,32,0,0,0
1936-12-17,51,31,0.82,0,0
1936-12-18,31,17,0,0,0
1936-12-19,40,16,0.02,0,0
1936-12-20,55,34,1.35, T,0
1936-12-21,42,33,0,0,0
1936-12-22,33,14,0,0,0
1936-12-23,30,12,0,0,0
1936-12-24,50,30,0,0,0
1936-12-25,46,39,0.04,0,0
1936-12-26,39,27,0.09, T,0
1936-12-27,56,27, T,0,0
1936-12-28,58,32, T,0,0
1936-12-29,33,22,0,0,0
1936-12-30,41,33,0.21,0,0
1936-12-31,59,37,0.1,0,0
1937-01-01,53,36,0,0,0
1937-01-02,41,32,0.46,0,0
1937-01-03,56,39,0.41,0,0
1937-01-04,41,32,0,0,0
1937-01-05,46,30,0,0,0
1937-01-06,38,20,0,0,0
1937-01-07,44,24,0.25,0.2,0
1937-01-08,53,42,0.01,0,0
1937-01-09,64,43, T,0,0
1937-01-10,48,27,0.23,0.8,1
1937-01-11,34,23,0,0,0
1937-01-12,42,30,0,0,0
1937-01-13,46,34,0,0,0
1937-01-14,59,36, T,0,0
1937-01-15,63,41,0.21,0,0
1937-01-16,41,21, T, T,0
1937-01-17,46,18,0.2,0,0
1937-01-18,59,40,0.18,0,0
1937-01-19,52,30,0,0,0
1937-01-20,32,23,0.15,0.8, T
1937-01-21,50,32,0.15,0.2,0
1937-01-22,48,38,0.66,0,0
1937-01-23,38,26,0.1,0,0
1937-01-24,37,22,0.59, T, T
1937-01-25,53,37,0.11,0,0
1937-01-26,41,29,0,0,0
1937-01-27,29,17,0,0,0
1937-01-28,32,15,0,0,0
1937-01-29,37,27,0,0,0
1937-01-30,37,25,0,0,0
1937-01-31,43,26,0.22,0,0
1937-02-01,39,29,0.01,0, T
1937-02-02,29,10, T, T,0
1937-02-03,34,11, T, T,0
1937-02-04,31,14,0,0,0
1937-02-05,33,27, T, T, T
1937-02-06,33,23, T, M,0
1937-02-07,38,29,0,0,0
1937-02-08,35,26,0.15,0,0
1937-02-09,51,35,0.11,0,0
1937-02-10,43,29,0.01, T,0
1937-02-11,29,24,0,0,0
1937-02-12,48,22,0,0,0
1937-02-13,56,42,0,0,0
1937-02-14,50,34,0.63,0,0
1937-02-15,39,32, T, T,0
1937-02-16,35,29,0,0,0
1937-02-17,38,19,0,0,0
1937-02-18,39,23,0,0,0
1937-02-19,45,30,0,0,0
1937-02-20,45,31,0,0,0
1937-02-21,45,37, T,0,0
1937-02-22,47,34,0.4, T,0
1937-02-23,42,31, T, T,0
1937-02-24,37,31, T, T,0
1937-02-25,42,26, T, T,0
1937-02-26,38,30,0,0,0
1937-02-27,39,20,0,0,0
1937-02-28,36,16,0,0,0
1937-03-01,45,23,0,0,0
1937-03-02,46,33,0,0,0
1937-03-03,40,27,0,0,0
1937-03-04,57,30, T,0,0
1937-03-05,43,22, T, T,0
1937-03-06,28,17,0.01,0.1, T
1937-03-07,35,15,0,0,0
1937-03-08,37,23,0.17,0,0
1937-03-09,42,25, T, T,0
1937-03-10,26,18, T, T,0
1937-03-11,37,21,0,0,0
1937-03-12,35,21,0,0,0
1937-03-13,31,25,0.09,0.9,1
1937-03-14,37,20,0,0, T
1937-03-15,37,30,1.09,0.4, T
1937-03-16,49,30,1.15,0.3, T
1937-03-17,38,29, T, T,0
1937-03-18,52,36,0.06,0,0
1937-03-19,51,36, T,0,0
1937-03-20,50,33,0.41, T, T
1937-03-21,44,36,0.42,0,0
1937-03-22,45,30,0,0,0
1937-03-23,43,28,0,0,0
1937-03-24,48,28, T, T,0
1937-03-25,37,26,0.17,0.2, T
1937-03-26,38,24, T, T, T
1937-03-27,44,28,0,0,0
1937-03-28,38,24, T, T,0
1937-03-29,50,26,0,0,0
1937-03-30,47,30,0,0,0
1937-03-31,42,28,0,0,0
1937-04-01,53,31,0,0,0
1937-04-02,43,34,0.33,0,0
1937-04-03,40,32, T,0,0
1937-04-04,44,33,0,0,0
1937-04-05,45,36,0,0,0
1937-04-06,57,40,0.8,0,0
1937-04-07,53,41,0,0,0
1937-04-08,61,39,0,0,0
1937-04-09,45,34,0.44, T,0
1937-04-10,45,35, T,0,0
1937-04-11,51,36,0,0,0
1937-04-12,50,35,0,0,0
1937-04-13,64,38, T,0,0
1937-04-14,71,47,0.01,0,0
1937-04-15,67,44,0.13,0,0
1937-04-16,53,41,0.05,0,0
1937-04-17,46,35,0,0,0
1937-04-18,63,44,0.07,0,0
1937-04-19,60,47, T,0,0
1937-04-20,61,44,0,0,0
1937-04-21,52,38,0.15,0, T
1937-04-22,43,38,1.89,0,0
1937-04-23,42,34,0.18, T,0
1937-04-24,46,35,0,0,0
1937-04-25,56,36,0,0,0
1937-04-26,50,36,0,0,0
1937-04-27,50,43,0.8,0,0
1937-04-28,51,43,0.43,0,0
1937-04-29,51,42,0.06,0,0
1937-04-30,53,39,0,0,0
1937-05-01,62,47,0,0,0
1937-05-02,57,45,0,0,0
1937-05-03,77,45,0,0,0
1937-05-04,85,55,0,0,0
1937-05-05,77,57,0,0,0
1937-05-06,68,52,0.02,0,0
1937-05-07,60,46,0.01,0,0
1937-05-08,48,44,0.01,0,0
1937-05-09,62,44,0.01,0,0
1937-05-10,63,45,0.01,0,0
1937-05-11,69,42,0,0,0
1937-05-12,77,49,0,0,0
1937-05-13,72,56,0.16,0,0
1937-05-14,67,44,0.1,0,0
1937-05-15,63,44,0.51,0,0
1937-05-16,60,43,0,0,0
1937-05-17,64,48,0.03,0,0
1937-05-18,66,50,0,0,0
1937-05-19,56,49,0.73,0,0
1937-05-20,59,46, T,0,0
1937-05-21,75,50,0,0,0
1937-05-22,69,53, T,0,0
1937-05-23,62,52,0.12,0,0
1937-05-24,75,54, T,0,0
1937-05-25,75,56,0,0,0
1937-05-26,72,53,0.02,0,0
1937-05-27,65,53,0.79,0,0
1937-05-28,59,54, T,0,0
1937-05-29,70,57,0,0,0
1937-05-30,84,58,0,0,0
1937-05-31,93,63,0,0,0
1937-06-01,95,68,0,0,0
1937-06-02,76,54,0,0,0
1937-06-03,66,53,0.18,0,0
1937-06-04,73,56,0.33,0,0
1937-06-05,78,59,0,0,0
1937-06-06,74,59,0.01,0,0
1937-06-07,75,62,0.11,0,0
1937-06-08,73,59, T,0,0
1937-06-09,86,58, T,0,0
1937-06-10,77,58,0.02,0,0
1937-06-11,71,57, T,0,0
1937-06-12,83,59,0,0,0
1937-06-13,83,61,0,0,0
1937-06-14,76,60,0.31,0,0
1937-06-15,78,65,0,0,0
1937-06-16,73,59,0,0,0
1937-06-17,69,58,0,0,0
1937-06-18,81,58,0.33,0,0
1937-06-19,62,56, T,0,0
1937-06-20,66,55,0,0,0
1937-06-21,69,56,0.62,0,0
1937-06-22,73,62,1.4,0,0
1937-06-23,75,62,0,0,0
1937-06-24,75,58,0,0,0
1937-06-25,80,58,0.02,0,0
1937-06-26,62,56,0.07,0,0
1937-06-27,69,56, T,0,0
1937-06-28,65,58,0.05,0,0
1937-06-29,71,58, T,0,0
1937-06-30,72,60, T,0,0
1937-07-01,77,63,0.02,0,0
1937-07-02,79,59,0,0,0
1937-07-03,76,62, T,0,0
1937-07-04,74,60,0,0,0
1937-07-05,88,65,0,0,0
1937-07-06,88,64,0,0,0
1937-07-07,93,70,0,0,0
1937-07-08,99,74,0,0,0
1937-07-09,88,69,0.35,0,0
1937-07-10,90,71,0,0,0
1937-07-11,80,66,0.05,0,0
1937-07-12,68,62,0.2,0,0
1937-07-13,68,58,0.13,0,0
1937-07-14,78,55,0,0,0
1937-07-15,71,62,0.25,0,0
1937-07-16,92,68,0.05,0,0
1937-07-17,91,74,0,0,0
1937-07-18,83,68,0,0,0
1937-07-19,77,64,0,0,0
1937-07-20,77,66,0,0,0
1937-07-21,75,62,0,0,0
1937-07-22,76,58,0,0,0
1937-07-23,86,64,0,0,0
1937-07-24,93,66,0,0,0
1937-07-25,88,71,0,0,0
1937-07-26,84,70,0.12,0,0
1937-07-27,82,68,0,0,0
