Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1959-09-01,75,65,0.34,0,0
1959-09-02,75,62, T,0,0
1959-09-03,79,63,0.05,0,0
1959-09-04,80,61, T,0,0
1959-09-05,74,64,0,0,0
1959-09-06,73,64, T,0,0
1959-09-07,78,65,0,0,0
1959-09-08,80,64,0,0,0
1959-09-09,79,64,0,0,0
1959-09-10,76,60,0.15,0,0
1959-09-11,67,49, T,0,0
1959-09-12,67,45,0,0,0
1959-09-13,70,48,0,0,0
1959-09-14,68,54,0,0,0
1959-09-15,67,48,0,0,0
1959-09-16,73,53,0,0,0
1959-09-17,59,46,0,0,0
1959-09-18,64,41,0,0,0
1959-09-19,68,46,0,0,0
1959-09-20,70,47,0,0,0
1959-09-21,73,49,0,0,0
1959-09-22,76,53,0,0,0
1959-09-23,77,56,0,0,0
1959-09-24,78,58,0,0,0
1959-09-25,78,57,0,0,0
1959-09-26,72,61,0,0,0
1959-09-27,74,62,0,0,0
1959-09-28,77,62,0,0,0
1959-09-29,67,61,1.19,0,0
1959-09-30,66,59,1.33,0,0
1959-10-01,63,56, T,0,0
1959-10-02,74,51,0,0,0
1959-10-03,76,58,0,0,0
1959-10-04,79,61,0,0,0
1959-10-05,79,63,0,0,0
1959-10-06,79,58, T,0,0
1959-10-07,72,59,0.35,0,0
1959-10-08,75,64, T,0,0
1959-10-09,69,63,0.23,0,0
1959-10-10,70,53,0,0,0
1959-10-11,68,50,0.11,0,0
1959-10-12,59,40,0,0,0
1959-10-13,56,45,1.06,0,0
1959-10-14,53,41,0.68,0,0
1959-10-15,54,39,0,0,0
1959-10-16,60,39,0,0,0
1959-10-17,62,45,0,0,0
1959-10-18,54,39,0,0,0
1959-10-19,60,37,0,0,0
1959-10-20,64,45,0,0,0
1959-10-21,59,45,0.06,0,0
1959-10-22,50,46,0.19,0,0
1959-10-23,60,48,0.28,0,0
1959-10-24,57,40,0.33,0,0
1959-10-25,41,33,0.06, T,0
1959-10-26,49,31,0.21, T,0
1959-10-27,45,34,0.35,0,0
1959-10-28,53,32,0,0,0
1959-10-29,52,39, T,0,0
1959-10-30,49,42, T,0,0
1959-10-31,61,47, T,0,0
1959-11-01,55,42,0,0,0
1959-11-02,49,31,0,0,0
1959-11-03,62,27,0,0,0
1959-11-04,68,54,0,0,0
1959-11-05,67,60,0.02,0,0
1959-11-06,61,26,0.33, T,0
1959-11-07,31,20, T, T,0
1959-11-08,43,17,0,0,0
1959-11-09,44,24,0,0,0
1959-11-10,54,32,0,0,0
1959-11-11,56,40,0,0,0
1959-11-12,50,41,0,0,0
1959-11-13,61,44,0,0,0
1959-11-14,62,32, T,0,0
1959-11-15,48,32,0.06,0,0
1959-11-16,50,43,0.35,0,0
1959-11-17,50,11,0.16, T,0
1959-11-18,33,9,0,0,0
1959-11-19,42,24,0,0,0
1959-11-20,54,31,0,0,0
1959-11-21,52,40,0,0,0
1959-11-22,56,38,0,0,0
1959-11-23,48,43,0.59,0,0
1959-11-24,51,32,1.19, T,0
1959-11-25,32,24,0.01, T, T
1959-11-26,49,24, T,0,0
1959-11-27,58,33,0.31,0,0
1959-11-28,33,19, T,0,0
1959-11-29,19,9,0.08,1.3,1
1959-11-30,28,13, T, T,2
1959-12-01,40,23,0,0,0
1959-12-02,45,33,0.19,0,0
1959-12-03,36,29, T,0,0
1959-12-04,56,27,0,0,0
1959-12-05,52,43, T,0,0
1959-12-06,43,21,0.4,4,0
1959-12-07,21,17,0.11,1,5
