Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1957-03-01,50,44,0.02,0,0
1957-03-02,58,37,0,0,0
1957-03-03,57,42, T,0,0
1957-03-04,50,42,0.24,0,0
1957-03-05,49,43,0.33,0,0
1957-03-06,52,47,0.79,0,0
1957-03-07,48,42,0.01,0,0
1957-03-08,61,43,0.39,0,0
1957-03-09,51,40,0,0,0
1957-03-10,53,40,0,0,0
1957-03-11,54,41,0,0,0
1957-03-12,65,52,0,0,0
1957-03-13,60,50,0,0,0
1957-03-14,64,52,0.01,0,0
1957-03-15,69,59, T,0,0
1957-03-16,63,49,0,0,0
1957-03-17,58,43,0,0,0
1957-03-18,71,43,0.24,0,0
1957-03-19,67,53,0.05,0,0
1957-03-20,55,44, T,0,0
1957-03-21,50,42,0,0,0
1957-03-22,56,43,0.85,0,0
1957-03-23,55,37,0.04,0,0
1957-03-24,60,36,0.01,0,0
1957-03-25,61,49,0.36,0,0
1957-03-26,54,45,0,0,0
1957-03-27,62,48,0,0,0
1957-03-28,53,46,0,0,0
1957-03-29,54,47,0,0,0
1957-03-30,55,40,0,0,0
1957-03-31,52,44,0,0,0
1957-04-01,66,46,0,0,0
1957-04-02,68,61,0.19,0,0
1957-04-03,62,48,0,0,0
1957-04-04,72,49,0,0,0
1957-04-05,75,65,0.07,0,0
1957-04-06,69,58,0,0,0
1957-04-07,69,47,0,0,0
1957-04-08,74,62, T,0,0
1957-04-09,71,43,0.02,0,0
1957-04-10,64,44,0,0,0
1957-04-11,71,42,0,0,0
1957-04-12,68,54,0.05,0,0
1957-04-13,59,42, T,0,0
1957-04-14,54,42,0,0,0
1957-04-15,52,45,0,0,0
1957-04-16,58,46,0,0,0
1957-04-17,72,50,0,0,0
1957-04-18,75,56,0,0,0
1957-04-19,77,56,0,0,0
1957-04-20,78,55,0,0,0
1957-04-21,79,65,0,0,0
1957-04-22,79,61,0,0,0
1957-04-23,80,60,0,0,0
1957-04-24,79,66,0,0,0
1957-04-25,80,66,0,0,0
1957-04-26,81,61,0,0,0
1957-04-27,82,66,0,0,0
1957-04-28,82,67,0,0,0
1957-04-29,82,65,0.03,0,0
1957-04-30,77,56, T,0,0
1957-05-01,81,53,0,0,0
1957-05-02,75,60,0,0,0
1957-05-03,63,54, T,0,0
1957-05-04,55,48,0.55,0,0
1957-05-05,61,51,0,0,0
1957-05-06,64,44,0,0,0
1957-05-07,75,44,0,0,0
1957-05-08,78,56,0,0,0
1957-05-09,77,63,0,0,0
1957-05-10,78,61,0,0,0
1957-05-11,80,63,0.05,0,0
1957-05-12,76,65,0.86,0,0
1957-05-13,73,62,0,0,0
1957-05-14,81,63, T,0,0
1957-05-15,81,70,0,0,0
1957-05-16,83,66,0,0,0
1957-05-17,74,66,0,0,0
1957-05-18,80,70,0.31,0,0
1957-05-19,78,69,0.73,0,0
1957-05-20,81,67,0,0,0
1957-05-21,71,60, T,0,0
1957-05-22,78,61,0,0,0
1957-05-23,82,72, T,0,0
1957-05-24,83,72,0,0,0
1957-05-25,83,71,0,0,0
1957-05-26,82,73, T,0,0
1957-05-27,82,69,0.62,0,0
1957-05-28,73,64,0,0,0
1957-05-29,71,64,0,0,0
1957-05-30,75,67,0.97,0,0
1957-05-31,75,62,1.72,0,0
1957-06-01,81,69,0.88,0,0
1957-06-02,81,67,0.02,0,0
1957-06-03,83,70,0,0,0
1957-06-04,83,65,0.01,0,0
1957-06-05,80,73,0.23,0,0
1957-06-06,84,67,0.44,0,0
1957-06-07,80,70,0,0,0
1957-06-08,85,68,2.51,0,0
1957-06-09,73,67,0.92,0,0
1957-06-10,75,68,0,0,0
1957-06-11,76,61,0,0,0
1957-06-12,81,64,0,0,0
1957-06-13,89,73,0.03,0,0
1957-06-14,87,74,0,0,0
1957-06-15,91,73,0,0,0
1957-06-16,88,74,0,0,0
1957-06-17,86,70,0,0,0
1957-06-18,89,72,0,0,0
1957-06-19,86,75,0,0,0
1957-06-20,80,72,0,0,0
1957-06-21,83,64,0,0,0
1957-06-22,86,64,0,0,0
1957-06-23,84,64,0,0,0
1957-06-24,84,62,0,0,0
1957-06-25,84,68,0,0,0
1957-06-26,85,70,0,0,0
1957-06-27,86,71,0.13,0,0
1957-06-28,86,73,0,0,0
