Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1937-05-01, M, M,0, M, M
1937-05-02, M, M,0.63, M, M
1937-05-03, M, M,0.37, M, M
1937-05-04, M, M,0.01, M, M
1937-05-05, M, M,0, M, M
1937-05-06, M, M,0, M, M
1937-05-07, M, M,0, M, M
1937-05-08, M, M,0, M, M
1937-05-09, M, M,0, M, M
1937-05-10, M, M,0, M, M
1937-05-11, M, M,0, M, M
1937-05-12, M, M,0.64, M, M
1937-05-13, M, M,0, M, M
1937-05-14, M, M,0, M, M
1937-05-15, M, M,0.06, M, M
1937-05-16, M, M,0, M, M
1937-05-17, M, M,0, M, M
1937-05-18, M, M,0.09, M, M
1937-05-19, M, M,0.2, M, M
1937-05-20, M, M,0.31, M, M
1937-05-21, M, M,1.25, M, M
1937-05-22, M, M,0, M, M
1937-05-23, M, M,0, M, M
1937-05-24, M, M,0, M, M
1937-05-25, M, M,0.16, M, M
1937-05-26, M, M,1.62, M, M
1937-05-27, M, M,0.02, M, M
1937-05-28, M, M,0, M, M
1937-05-29, M, M,0, M, M
1937-05-30, M, M,0.22, M, M
1937-05-31, M, M,0, M, M
1937-06-01, M, M,0, M, M
1937-06-02, M, M, T, M, M
1937-06-03, M, M,0, M, M
1937-06-04, M, M,0, M, M
1937-06-05, M, M,0.65, M, M
1937-06-06, M, M,0, M, M
1937-06-07, M, M, T, M, M
1937-06-08, M, M,0.06, M, M
1937-06-09, M, M, T, M, M
1937-06-10, M, M, T, M, M
1937-06-11, M, M,0, M, M
1937-06-12, M, M,0, M, M
1937-06-13, M, M,0.83, M, M
1937-06-14, M, M,0, M, M
1937-06-15, M, M,0, M, M
1937-06-16, M, M,0.21, M, M
1937-06-17, M, M,0, M, M
1937-06-18, M, M,0, M, M
1937-06-19, M, M,1.77, M, M
1937-06-20, M, M, T, M, M
1937-06-21, M, M,0, M, M
1937-06-22, M, M,0, M, M
1937-06-23, M, M,0, M, M
1937-06-24, M, M,0, M, M
1937-06-25, M, M,0.16, M, M
1937-06-26, M, M, T, M, M
1937-06-27, M, M,0, M, M
1937-06-28, M, M,0, M, M
1937-06-29, M, M,0.15, M, M
1937-06-30, M, M,0, M, M
1937-07-01, M, M,0, M, M
1937-07-02, M, M,0, M, M
1937-07-03, M, M,0, M, M
1937-07-04, M, M,0, M, M
1937-07-05, M, M,0, M, M
1937-07-06, M, M,0, M, M
1937-07-07, M, M,0, M, M
1937-07-08, M, M,0, M, M
1937-07-09, M, M,0, M, M
1937-07-10, M, M,0, M, M
1937-07-11, M, M,0.03, M, M
1937-07-12, M, M,0.02, M, M
1937-07-13, M, M,0, M, M
1937-07-14, M, M,0.09, M, M
1937-07-15, M, M,0.18, M, M
1937-07-16, M, M, T, M, M
1937-07-17, M, M,0, M, M
1937-07-18, M, M,0.17, M, M
1937-07-19, M, M,0, M, M
1937-07-20, M, M,0, M, M
1937-07-21, M, M,0, M, M
1937-07-22, M, M,0, M, M
1937-07-23, M, M,0, M, M
1937-07-24, M, M, T, M, M
1937-07-25, M, M,0.02, M, M
1937-07-26, M, M,0, M, M
1937-07-27, M, M,0, M, M
1937-07-28, M, M,0, M, M
1937-07-29, M, M,0, M, M
1937-07-30, M, M,0, M, M
1937-07-31, M, M,0.02, M, M
1937-08-01, M, M,0.12, M, M
1937-08-02, M, M,0.16, M, M
1937-08-03, M, M,0.15, M, M
1937-08-04, M, M,0, M, M
1937-08-05, M, M,0, M, M
1937-08-06, M, M,0.29, M, M
1937-08-07, M, M,0, M, M
1937-08-08, M, M,0.15, M, M
1937-08-09, M, M,0, M, M
1937-08-10, M, M,0, M, M
1937-08-11, M, M,0.03, M, M
1937-08-12, M, M,0, M, M
1937-08-13, M, M,0.05, M, M
1937-08-14, M, M,0, M, M
1937-08-15, M, M,0, M, M
1937-08-16, M, M,0, M, M
1937-08-17, M, M,0.03, M, M
1937-08-18, M, M,0.3, M, M
1937-08-19, M, M,0.48, M, M
1937-08-20, M, M,0.14, M, M
