Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1934-01-01,51,16,0.15, T, M
1934-01-02,26,14,0.01,0.1, M
1934-01-03,27,21,0,0, M
1934-01-04,35,24,0.23, T, M
1934-01-05,45,35,0.06,0, M
1934-01-06,40,36,0,0, M
1934-01-07,36,32,0.43,3, M
1934-01-08,36,32, T,0.8, M
1934-01-09,34,30,0.03,0.3, M
1934-01-10,31,28, T, T, M
1934-01-11,39,29,0,0, M
1934-01-12,37,30,0,0, M
1934-01-13,37,32,0.26,0.8, M
1934-01-14,34,31,0.01,0.1, M
1934-01-15,37,31,0, T, M
1934-01-16,32,17,0.01, T, M
1934-01-17,23,15,0.01,0.2, M
1934-01-18,39,15, T, T, M
1934-01-19,41,21,0,0, M
1934-01-20,34,20,0,0, M
1934-01-21,50,25,0,0, M
1934-01-22,50,33,0.27,0, M
1934-01-23,44,25, T, T, M
1934-01-24,47,24,0.06,0, M
1934-01-25,49,25,0.01,0, M
1934-01-26,37,23,0,0, M
1934-01-27,45,35,0.02,0, M
1934-01-28,45,3,0.03,0.2, M
1934-01-29,8,1,0.02,0.2, M
1934-01-30,16,1, T, T, M
1934-01-31,35,16,0.04,0.3, M
1934-02-01,31,10,0.01,0.2, M
1934-02-02,21,8,0.03,0.2, M
1934-02-03,25,6, T,0.2, M
1934-02-04,31,20, T, T, M
1934-02-05,25,11,0.03,0.4, M
1934-02-06,26,9,0.04,0.5, M
1934-02-07,23,0, T, T, M
1934-02-08,2,-11,0,0, M
1934-02-09,4,-16,0,0, M
1934-02-10,29,-4,0,0, M
1934-02-11,36,20,0,0, M
1934-02-12,36,22,0.01, T, M
1934-02-13,22,10, T, T, M
1934-02-14,42,8, T, T, M
1934-02-15,36,9, T, T, M
1934-02-16,21,2, T, T, M
1934-02-17,34,6,0,0, M
1934-02-18,37,15,0.2,0.6, M
1934-02-19,15,-4, T,1.4, M
1934-02-20,18,-8,0,0, M
1934-02-21,37,14,0,0, M
1934-02-22,31,9,0.12,1.3, M
1934-02-23,12,2,0.01,0.1, M
1934-02-24,14,-3,0,0, M
1934-02-25,16,10,0.01,0.1, M
1934-02-26,10,0,0.01,0.1, M
1934-02-27,15,-4,0,0, M
1934-02-28,29,7,0,0, M
1934-03-01,40,19,0,0, M
1934-03-02,43,30,0.2,0, M
1934-03-03,46,36,0.01,0, M
1934-03-04,47,36,0.04,0, M
1934-03-05,49,30,0.08, T, M
1934-03-06,35,28,0.01, T, M
1934-03-07,34,25,0,0, M
1934-03-08,28,20,0.03,0.3, M
1934-03-09,24,12,0.02,0.1, M
1934-03-10,24,11, T,0.1, M
1934-03-11,26,10, T, T, M
1934-03-12,36,18,0.02,0.2, M
1934-03-13,59,32,0.09,0, M
1934-03-14,34,20,0.01,0.1, M
1934-03-15,41,25,0,0, M
1934-03-16,49,32,0,0, M
1934-03-17,66,27,0.4,0, M
1934-03-18,27,10,0.2,3, M
1934-03-19,33,10,0,0, M
1934-03-20,40,19,0,0, M
1934-03-21,49,20, T,0, M
1934-03-22,21,10,0.01,0.1, M
1934-03-23,29,11, T, T, M
1934-03-24,37,20, T, T, M
1934-03-25,33,15,0,0, M
1934-03-26,30,22,1.08,2.9, M
1934-03-27,27,3,0.69,6.3, M
1934-03-28,31,4,0,0, M
1934-03-29,45,18,0,0, M
1934-03-30,40,32,0,0, M
1934-03-31,55,32, T,0, M
1934-04-01,52,34,0.11,0, M
1934-04-02,55,40,0,0, M
1934-04-03,46,34,0.5,0, M
1934-04-04,49,35, T,0, M
1934-04-05,49,33,0.3,0, M
1934-04-06,50,37,0,0, M
1934-04-07,60,33,0,0, M
1934-04-08,65,30,0,0, M
1934-04-09,72,41,0,0, M
1934-04-10,60,43,0.15,0, M
1934-04-11,43,30,0.39,0.6, M
1934-04-12,34,25,0.03,0.3, M
1934-04-13,36,24,0.09,0.3, M
1934-04-14,39,30,0.01,0.1, M
1934-04-15,51,33,0.31,0, M
1934-04-16,57,37,0.62,0, M
1934-04-17,66,38, T,0, M
1934-04-18,69,44,0,0, M
1934-04-19,58,40,0,0, M
1934-04-20,43,33, T, T, M
1934-04-21,43,29, T, T, M
1934-04-22,45,37,0.1,0, M
1934-04-23,67,36,0.18,0, M
1934-04-24,45,33, T, T, M
1934-04-25,48,28,0,0, M
1934-04-26,60,37,0,0, M
1934-04-27,43,30,0,0, M
1934-04-28,53,28,0,0, M
1934-04-29,71,41,0,0, M
1934-04-30,73,51,0,0, M
1934-05-01,75,55,0,0, M
1934-05-02,78,54,0,0, M
1934-05-03,81,54,0,0, M
1934-05-04,86,59,0,0, M
1934-05-05,85,56,0,0, M
1934-05-06,86,48,0,0, M
1934-05-07,74,45,0,0, M
1934-05-08,71,43,0,0, M
1934-05-09,78,58, T,0, M
1934-05-10,78,55,0,0, M
1934-05-11,55,35,0.03,0, M
1934-05-12,56,32,0,0, M
1934-05-13,63,47,0.21,0, M
1934-05-14,59,40,0,0, M
1934-05-15,57,39,0,0, M
1934-05-16,65,35,0,0, M
1934-05-17,83,49,0,0, M
1934-05-18,73,49,0,0, M
1934-05-19,91,52,0,0, M
1934-05-20,90,68,0,0, M
1934-05-21,91,68,0.01,0, M
1934-05-22,70,44,0.16,0, M
1934-05-23,71,41,0,0, M
1934-05-24,61,42,0.17,0, M
1934-05-25,64,36,0,0, M
1934-05-26,70,39,0,0, M
1934-05-27,74,43,0,0, M
1934-05-28,78,49,0,0, M
1934-05-29,88,54,0,0, M
1934-05-30,83,51,0,0, M
1934-05-31,88,56,0,0, M
1934-06-01,97,66,0,0, M
1934-06-02,92,64,0,0, M
1934-06-03,91,59,0,0, M
1934-06-04,95,61,0,0, M
1934-06-05,94,62, T,0, M
1934-06-06,90,54,0,0, M
1934-06-07,71,51,0,0, M
1934-06-08,83,51,0,0, M
1934-06-09,92,67,0.02,0, M
1934-06-10,84,62,0.02,0, M
1934-06-11,84,55,0.03,0, M
1934-06-12,73,57,0.21,0, M
1934-06-13,79,56,0,0, M
1934-06-14,80,54,0,0, M
1934-06-15,90,61,0,0, M
1934-06-16,79,58,0,0, M
1934-06-17,84,57,0,0, M
1934-06-18,73,64,0.77,0, M
1934-06-19,87,57,0,0, M
1934-06-20,91,57,0,0, M
1934-06-21,88,61,0,0, M
1934-06-22,75,55,0.06,0, M
1934-06-23,86,56,0,0, M
1934-06-24,93,69,0,0, M
1934-06-25,86,58,0,0, M
1934-06-26,84,62,0.26,0, M
1934-06-27,84,62,0,0, M
1934-06-28,104,63,0,0, M
1934-06-29,94,72,0.02,0, M
1934-06-30,92,67,0,0, M
1934-07-01,93,66,0,0, M
1934-07-02,90,62,0,0, M
1934-07-03,90,66, T,0, M
