Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1938-04-01,64,38,0, M, M
1938-04-02,64,34,0, M, M
1938-04-03,78,34,0, M, M
1938-04-04,81,46,0, M, M
1938-04-05,79,59,0, M, M
1938-04-06,64, M,0, M, M
1938-04-07,49,34, T, M, M
1938-04-08,55,27,0, M, M
1938-04-09,63,34,0, M, M
1938-04-10,77,34,0, M, M
1938-04-11,80,46,0, M, M
1938-04-12,87,51,0, M, M
1938-04-13,78,53,0, M, M
1938-04-14,66,51,0, M, M
1938-04-15,70,46, T, M, M
1938-04-16,76,46,0, M, M
1938-04-17,82,48,0, M, M
1938-04-18,84,50,0, M, M
1938-04-19,89,50,0, M, M
1938-04-20,89,65,0, M, M
1938-04-21,86,64,0, M, M
1938-04-22,80,54,0, M, M
1938-04-23,88,62,0, M, M
1938-04-24,88,57,0, M, M
1938-04-25,90,51,0, M, M
1938-04-26,74,56,0, M, M
1938-04-27,79,46,0, M, M
1938-04-28,89,43,0, M, M
1938-04-29,86,63,0, M, M
1938-04-30,86,58,0.05, M, M
1938-05-01,85,51, T, M, M
1938-05-02,85,45,0, M, M
1938-05-03,70,58,0, M, M
1938-05-04,75,50, T, M, M
1938-05-05,79,55,0, M, M
1938-05-06,79,58,0, M, M
1938-05-07,74,47,0, M, M
1938-05-08,77,49,0, M, M
1938-05-09,80,51, T, M, M
1938-05-10,80,45, T, M, M
1938-05-11,87,53,0, M, M
1938-05-12,87,53,0, M, M
1938-05-13,88,56,0, M, M
1938-05-14,94,56,0, M, M
1938-05-15,94,61,0, M, M
1938-05-16,88,64,0, M, M
1938-05-17,86,67,0, M, M
1938-05-18,83,70, T, M, M
1938-05-19,83,62, T, M, M
1938-05-20,89,59,0, M, M
1938-05-21,89,56,0, M, M
1938-05-22,83,62, T, M, M
1938-05-23,82,56,0, M, M
1938-05-24,87,56,0, M, M
1938-05-25,93,57,0, M, M
1938-05-26,93,66,0, M, M
1938-05-27,97,58,0, M, M
1938-05-28,97,75,0, M, M
1938-05-29,94,65,0, M, M
1938-05-30,91,70,0, M, M
1938-05-31,91,59,0, M, M
1938-06-01,94,64,0, M, M
1938-06-02,98,67,0, M, M
1938-06-03,100,66,0, M, M
1938-06-04,94,72,0, M, M
1938-06-05,96,69,0, M, M
1938-06-06,98,71, T, M, M
1938-06-07,96,69, T, M, M
1938-06-08,93,63,0, M, M
1938-06-09,91,73,0, M, M
1938-06-10,93,73,0, M, M
1938-06-11,97,62,0, M, M
1938-06-12,92,71,0, M, M
1938-06-13,95,68,0.04, M, M
1938-06-14,95,56,0.07, M, M
1938-06-15,99,64,0, M, M
1938-06-16,98,64,0, M, M
1938-06-17,98,67,0, M, M
1938-06-18,100,68,0, M, M
1938-06-19,99,70,0, M, M
1938-06-20,96,77, T, M, M
1938-06-21,94,63,0, M, M
1938-06-22,94,70,0, M, M
1938-06-23,79,64,0.46, M, M
1938-06-24,88,66,0.12, M, M
1938-06-25,93,69,0, M, M
1938-06-26,84,69, T, M, M
1938-06-27,71,63,0.3, M, M
1938-06-28,82,64,2.55, M, M
1938-06-29,81,66,0.67, M, M
1938-06-30,81,67,0.05, M, M
1938-07-01,86,66,0.05, M, M
1938-07-02,79,67,0.08, M, M
1938-07-03,91,66,0, M, M
1938-07-04,93,64,0, M, M
1938-07-05,94,65,0, M, M
1938-07-06,95,63,0, M, M
1938-07-07,97,61,0, M, M
1938-07-08,96,65,0, M, M
1938-07-09,93,66,0.02, M, M
1938-07-10,93,69,0, M, M
1938-07-11,91,70,0, M, M
1938-07-12,93,68,0.19, M, M
1938-07-13,93,71,0, M, M
1938-07-14,90,71,0, M, M
1938-07-15,92,69, T, M, M
1938-07-16,93,68,0, M, M
1938-07-17,96,70,0, M, M
1938-07-18,87,69, T, M, M
1938-07-19,89,69,0, M, M
1938-07-20,90,68, T, M, M
1938-07-21,79,67, T, M, M
1938-07-22,76,66, T, M, M
1938-07-23,81,64, T, M, M
1938-07-24,87,60,0, M, M
1938-07-25,89,65,0, M, M
1938-07-26,91,68,0, M, M
1938-07-27,91,68,0, M, M
1938-07-28,95,69,0, M, M
1938-07-29,95,71,0.05, M, M
1938-07-30,94,66,0.01, M, M
1938-07-31,95,68,0, M, M
1938-08-01,97,63,0, M, M
1938-08-02,97,64,0, M, M
1938-08-03,90,67,0, M, M
1938-08-04,90,68,0, M, M
1938-08-05,91,65,0, M, M
1938-08-06,91,68,0, M, M
1938-08-07,91,65,0.11, M, M
1938-08-08,94,66,0, M, M
1938-08-09,94,64,0, M, M
1938-08-10,96,69,0, M, M
1938-08-11,93,69,0, M, M
