Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1948-01-01,34,13,0,0, T
1948-01-02,46,29,0.01,0, T
1948-01-03,38,16, T, T, T
1948-01-04,38,15,0,0, T
1948-01-05,44,15,0,0, T
1948-01-06,42,23,0,0, T
1948-01-07,40,31, T,0, T
1948-01-08,46,30,0,0, T
1948-01-09,42,20,0,0, T
1948-01-10,30,11,0,0, T
1948-01-11,33,9,0.09,0.6, T
1948-01-12,22,1,0.01,0.1,1
1948-01-13,23,3,0,0,1
1948-01-14,47,16,0,0, T
1948-01-15,31,-2, T, T, T
1948-01-16,16,-8,0,0, T
1948-01-17,23,-1,0.07,0.8,1
1948-01-18,21,0,0,0,1
1948-01-19,43,10,0,0,1
1948-01-20,34,21,0,0, T
1948-01-21,42,18,0.05,0.1, T
1948-01-22,38,3,0.07,0.3, T
1948-01-23,32,12, T, T, T
1948-01-24,22,16, T, T, T
1948-01-25,18,-5, T, T, T
1948-01-26,12,-12,0.02,0.2, T
1948-01-27,28,-12,0,0, T
1948-01-28,46,13,0,0, T
1948-01-29,38,8,0,0, T
1948-01-30,48,10,0,0, T
1948-01-31,38,14,0,0, T
1948-02-01,16,-4, T, T, T
1948-02-02,23,-11,0,0, T
1948-02-03,25,-6,0,0, T
1948-02-04,17,2, T, T, T
1948-02-05,12,-10,0.02,0.2, T
1948-02-06,13,-14,0,0, T
1948-02-07,13,-6,0,0, T
1948-02-08,10,-4,0.03,0.3, T
1948-02-09,6,-22,0.2,5.1,5
1948-02-10,-2,-25,0,0,5
1948-02-11,15,-31,0,0,5
1948-02-12,26,-21,0,0,5
1948-02-13,32,-5, T, T,5
1948-02-14,9,0,0.08,0.8,6
1948-02-15,49,6,0,0,4
1948-02-16,47,25,0,0,1
1948-02-17,45,14,0,0,1
1948-02-18,48,-6, T, T,1
1948-02-19,15,-11, T, T,1
1948-02-20,19,-12,0,0,1
1948-02-21,37,3,0,0, T
1948-02-22,41,18,0.07,0.7,1
1948-02-23,27,0, T, T,1
1948-02-24,35,-2,0,0, T
1948-02-25,49,25,0,0, T
1948-02-26,36,30,0.09,0.4, T
1948-02-27,35,9,0.05,0.4,1
1948-02-28,19,3, T, T,1
1948-02-29,17,-9,0.04,0.4,1
1948-03-01,19,-10,0,0,1
1948-03-02,17,7, T, T,1
1948-03-03,22,5, T, T,1
1948-03-04,35,0,0,0,1
1948-03-05,41,14,0,0, T
1948-03-06,33,10,0.02,0.2, T
1948-03-07,17,-1, T, T, T
1948-03-08,14,-5, T, T, T
1948-03-09,7,-13,0,0, T
1948-03-10,22,-19,0,0, T
1948-03-11,40,-8,0,0, T
1948-03-12,47,9,0,0, T
1948-03-13,60,18,0,0, T
1948-03-14,47,22, T, T, T
1948-03-15,37,23,0.01,0.2,0
1948-03-16,38,15,0,0,0
1948-03-17,33,14, T, T,0
1948-03-18,53,20, T, T,0
1948-03-19,49,28,0,0,0
1948-03-20,46,28,0,0, M
1948-03-21,56,25,0,0,0
1948-03-22,66,37, T,0,0
1948-03-23,45,29, T, T,0
1948-03-24,41,27, T, T,0
1948-03-25,28,18,0.42,5.4,4
1948-03-26,39,14,0.08,0.7,5
