Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1899-01-01,32,9, M, M, M
1899-01-02,40,-1, M, M, M
1899-01-03,39,13, M, M, M
1899-01-04,20,4, M, M, M
1899-01-05,30,2, M, M, M
1899-01-06,29,0, M, M, M
1899-01-07,36,0, M, M, M
1899-01-08,31,6, M, M, M
1899-01-09,49,10, M, M, M
1899-01-10,33,16, M, M, M
1899-01-11,40,22, M, M, M
1899-01-12,54,18,0.01, M, M
1899-01-13,53,22, M, M, M
1899-01-14,54,20, M, M, M
1899-01-15,51,20, M, M, M
1899-01-16,45,20, M, M, M
1899-01-17,42,10, M, M, M
1899-01-18,25,13, M, M, M
1899-01-19,33,15, M, M, M
1899-01-20,44,18, M, M, M
1899-01-21,57,35, M, M, M
1899-01-22,53,31, M, M, M
1899-01-23,55,9, T, M, M
1899-01-24,40,15, M, M, M
1899-01-25,44,19, M, M, M
1899-01-26,46,-5, M, M, M
1899-01-27,19,-5, M, M, M
1899-01-28,24,9, M, M, M
1899-01-29,26,-15, M, M, M
1899-01-30,1,-12, M, M, M
1899-01-31,14,-1, M, M, M
1899-02-01,11,-11, M, M, M
1899-02-02,5,-9,0.02, M,1
1899-02-03,5,-16, M, M, M
1899-02-04,6,-14, M, M, M
1899-02-05,14,-5, M, M, M
1899-02-06,17,-11, M, M, M
1899-02-07,4,-15, M, M, M
1899-02-08,2,-21, M, M, M
1899-02-09,5,-15,0.09, M,2
1899-02-10,4,-29, M, M, M
1899-02-11,-11,-33, M, M, M
1899-02-12,10,-20, M, M, M
1899-02-13,24,8, M, M, M
1899-02-14,26,15, M, M, M
1899-02-15,33,20, M, M, M
1899-02-16,34,23, M, M, M
1899-02-17,34,21, M, M, M
1899-02-18,44,28, M, M, M
1899-02-19,50,29, M, M, M
1899-02-20,55,23, M, M, M
1899-02-21,46, M, M, M, M
1899-02-22, M,-11, M, M, M
1899-02-23,29,-7, M, M, M
1899-02-24,33,20, M, M, M
1899-02-25,28,0,0.19, M, M
1899-02-26,15,-9, M, M, M
1899-02-27,46,5, M, M, M
1899-02-28,38,5, M, M, M
1899-03-01,42,26, M, M, M
1899-03-02,40,22, M, M, M
1899-03-03,28,12, M, M, M
1899-03-04,42,-7, M, M, M
1899-03-05,20,-5, M, M, M
1899-03-06,26,-1, M, M, M
1899-03-07,40,22, M, M, M
