Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1937-01-01,60,39,0.66, M, M
1937-01-02,64,51,2.47, M, M
1937-01-03,52,31, M, M, M
1937-01-04,48,24, M, M, M
1937-01-05,48,40,0.22, M, M
1937-01-06,54,46,0.14, M, M
1937-01-07,56,50, M, M, M
1937-01-08,65,53, M, M, M
1937-01-09,71,60, M, M, M
1937-01-10,65,40,0.37, M, M
1937-01-11,53,41,0.01, M, M
1937-01-12,52,48,0.76, M, M
1937-01-13,70,51, M, M, M
1937-01-14,70,56,0.12, M, M
1937-01-15,58,38,0.93, M, M
1937-01-16,61,34, M, M, M
1937-01-17,69,47,0.3, M, M
1937-01-18,69,46,1.05, M, M
1937-01-19,58,45,0.18, M, M
1937-01-20,71,56,0.85, M, M
1937-01-21,73,64,0.02, M, M
1937-01-22,77,42, M, M, M
1937-01-23, M,37,0.61, M, M
1937-01-24,73,45,0.22, M, M
1937-01-25,57,40,1.51, M, M
1937-01-26,53,40, M, M, M
1937-01-27,62,40, M, M, M
1937-01-28,49,41,0.2, M, M
1937-01-29,58,44, M, M, M
1937-01-30,54,48, M, M, M
1937-01-31,56,46,0.78, M, M
1937-02-01,49,31,0, M, M
1937-02-02,43,25,0, M, M
1937-02-03,56,31,0, M, M
1937-02-04,50,31,0, M, M
1937-02-05,52,25,0, M, M
1937-02-06,56,37,0.02, M, M
1937-02-07,71,56,0.11, M, M
1937-02-08,79,54,0, M, M
1937-02-09,55,30,2.18, M, M
1937-02-10,35,24,0, M, M
1937-02-11,51,19,0, M, M
1937-02-12,60,29,0, M, M
1937-02-13,57,43,0.03, M, M
1937-02-14,52,33,0.14, M, M
1937-02-15,66,41, T, M, M
1937-02-16,42,31,0, M, M
1937-02-17,44,31,0, M, M
1937-02-18,57,37,0.14, M, M
1937-02-19,51,37,0.03, M, M
1937-02-20,55,44,0.17, M, M
1937-02-21,57,30,0.55, M, M
1937-02-22,54,25,0, M, M
1937-02-23,58,38,0, M, M
1937-02-24,53,35,0.2, M, M
1937-02-25,40,23,0, M, M
1937-02-26,43,21,0, M, M
1937-02-27,39,31,0.37, M, M
1937-02-28,35,29,0.11, M, M
1937-03-01,41,28,0, M, M
1937-03-02,61,24,0, M, M
1937-03-03,66,31,0, M, M
1937-03-04,68,36,0.04, M, M
1937-03-05,62,40,0.03, M, M
1937-03-06,73,37,0, M, M
1937-03-07,70,40,0.3, M, M
1937-03-08,58,40, T, M, M
1937-03-09,51,33,0, M, M
1937-03-10,63,27,0, M, M
1937-03-11,71,38,0, M, M
1937-03-12,73,43,0, M, M
1937-03-13,76,48,0, M, M
1937-03-14,62,32,0.46, M, M
1937-03-15,40,28,0.13, M, M
1937-03-16,48,27,0, M, M
1937-03-17,58,26,0, M, M
1937-03-18,55,43,0.66, M, M
1937-03-19,73,47,0.35, M, M
1937-03-20,72,46,0, M, M
1937-03-21,61,41,0, M, M
1937-03-22,72,39,0, M, M
1937-03-23,77,42,0, M, M
1937-03-24,73,57,1.09, M, M
1937-03-25,64,36, T, M, M
1937-03-26,49,33,0, M, M
1937-03-27,43,29,0.02, M, M
1937-03-28,47,30,0, M, M
1937-03-29,54,26,0, M, M
1937-03-30,50,37, T, M, M
1937-03-31,60,31,0, M, M
1937-04-01,68,32,0, M, M
1937-04-02,75,37,0, M, M
1937-04-03,79,44,0, M, M
1937-04-04,74,59,0.05, M, M
1937-04-05,65,43,1.06, M, M
1937-04-06,49,36,0, M, M
1937-04-07,70,31,0, M, M
1937-04-08,71,48,0.17, M, M
1937-04-09,54,36, T, M, M
1937-04-10,58,31,0, M, M
1937-04-11,60,32,0, M, M
1937-04-12,69,32,0, M, M
1937-04-13,75,44,0, M, M
1937-04-14,79,51,0, M, M
1937-04-15,80,55,0, M, M
1937-04-16,74,45,0, M, M
1937-04-17,84,44,0, M, M
1937-04-18,88,62,0, M, M
1937-04-19,85,61,0, M, M
1937-04-20,87,57,0, M, M
1937-04-21,73,54,0.32, M, M
1937-04-22,85,48,0, M, M
1937-04-23,85,53,0, M, M
1937-04-24,80,55,1.93, M, M
1937-04-25,67,47,0, M, M
1937-04-26,61,43,0, M, M
1937-04-27,62,43,0, M, M
1937-04-28,77,49,0.1, M, M
1937-04-29,85,63,2.2, M, M
1937-04-30,63,56,0.9, M, M
1937-05-01,64,56,0.04, M, M
1937-05-02,63,53,0.61, M, M
1937-05-03,67,58,0.04, M, M
1937-05-04,67,55,0.22, M, M
1937-05-05,71,53,1, M, M
1937-05-06,74,49,0.02, M, M
1937-05-07,76,47, M, M, M
1937-05-08,78,47, M, M, M
1937-05-09,82,50, M, M, M
1937-05-10,82,54, M, M, M
1937-05-11,86,55, M, M, M
1937-05-12,80,62,0.62, M, M
1937-05-13,75,58, T, M, M
1937-05-14,66,50,0.02, M, M
1937-05-15,74,43, M, M, M
1937-05-16,82,51, T, M, M
1937-05-17,86,54, M, M, M
1937-05-18,86,57, M, M, M
1937-05-19,89,66, M, M, M
1937-05-20,90,63, M, M, M
1937-05-21,92,61, M, M, M
1937-05-22,87,62,0.2, M, M
1937-05-23,83,62,0.11, M, M
1937-05-24,89,62, M, M, M
1937-05-25,90,59, M, M, M
1937-05-26,87,64, M, M, M
1937-05-27,91,65, M, M, M
1937-05-28,92,63, M, M, M
1937-05-29,94,65, M, M, M
1937-05-30,96,65, T, M, M
1937-05-31,96,70, M, M, M
1937-06-01,95,67,0.03, M, M
1937-06-02,92,66,0.07, M, M
1937-06-03,88,67,0.38, M, M
1937-06-04,88,65, M, M, M
1937-06-05,84,68,0.88, M, M
1937-06-06,90,64, M, M, M
1937-06-07,84,65,1.1, M, M
1937-06-08,89,61,0.27, M, M
1937-06-09,89,63, M, M, M
1937-06-10,89,65, M, M, M
1937-06-11,85,64,0.1, M, M
1937-06-12,91,60, M, M, M
1937-06-13,94,63, M, M, M
1937-06-14,91,71, M, M, M
1937-06-15,90,69, M, M, M
1937-06-16,89,67,0.03, M, M
1937-06-17,89,67,0.06, M, M
1937-06-18,91,66,0.1, M, M
1937-06-19,94,69, M, M, M
1937-06-20,97,68, M, M, M
1937-06-21,94,72, M, M, M
1937-06-22,92,66,0.5, M, M
1937-06-23,95,63, M, M, M
1937-06-24,99,63, M, M, M
1937-06-25,103,66, M, M, M
1937-06-26,96,72, M, M, M
1937-06-27,98,70, M, M, M
1937-06-28,94,72, M, M, M
1937-06-29,91,66, M, M, M
1937-06-30,82,62, M, M, M
1937-07-01,83,53,0, M, M
1937-07-02,88,54,0, M, M
1937-07-03,88,69,0, M, M
1937-07-04,85,69,0, M, M
1937-07-05,92,67,0.05, M, M
1937-07-06,84,67,0.02, M, M
