Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1893-03-01,22,-1,0,0, M
1893-03-02,28,-16, T,0, M
1893-03-03,18,-24,0,0, M
1893-03-04,29,-25,0,0, M
1893-03-05,29,-21,0,0, M
1893-03-06,33,-19,0,0, M
1893-03-07,46,-5,0,0, M
1893-03-08,47,6,0,0, M
1893-03-09,39,16,0.1,0, M
1893-03-10,42,36,0.28,0, M
1893-03-11,44, M,0.07,0, M
1893-03-12, M,15,0,0, M
1893-03-13,20,10,0,0, M
1893-03-14,18,0,0.8,8, M
1893-03-15,26,-16,0,0, M
1893-03-16,27,-19,0,0, M
1893-03-17,28,-9,0,0, M
1893-03-18,34,-14, T,0, M
1893-03-19,37,-10,0,0, M
1893-03-20,44,-2,0.22,3, M
1893-03-21,47,13,0,0, M
1893-03-22,36,15,0,0, M
1893-03-23,38,16,0.8,2, M
1893-03-24,29,20,0.1,1, M
1893-03-25,33,1,0,0, M
1893-03-26,45,-1,0,0, M
1893-03-27,50,5,0,0, M
1893-03-28,53,9,0,0, M
1893-03-29,48,21,0,0, M
1893-03-30,55,24,0,0, M
1893-03-31,51,36, T,0, M
1893-04-01,42,24, T,0, M
1893-04-02,54,21,0,0, M
1893-04-03,65,31,0,0, M
1893-04-04,53,26,0,0, M
1893-04-05,60,26,0,0, M
1893-04-06,37,25,0.1,1, M
1893-04-07,49,27, T,0, M
1893-04-08,43,32, T,0, M
1893-04-09,52,24,0,0, M
1893-04-10,61,31,0,0, M
1893-04-11,49,33,0.2,0, M
1893-04-12,51,32,0,0, M
1893-04-13,35,23,0.25,2, M
1893-04-14,37,16,0,0, M
1893-04-15,50,28,0,0, M
1893-04-16,56,30, T,0, M
1893-04-17,55,29,0,0, M
1893-04-18,50,37,0,0, M
1893-04-19,50,34, T,0, M
1893-04-20,33,25,0,0, M
1893-04-21,43,23,1,10, M
1893-04-22,39,13,0,0, M
1893-04-23,54,30,0,0, M
1893-04-24,42,31,0.1,0, M
1893-04-25,46,29,0,0, M
1893-04-26,36,32,0.1,0, M
1893-04-27,43,30,0.3,3, M
1893-04-28,48,28,0,0, M
1893-04-29,49,26,0,0, M
1893-04-30,50,28,0,0, M
1893-05-01,39,32,0.2,1.5, M
1893-05-02,44,32,0,0, M
1893-05-03,44,33,0,0, M
1893-05-04,51,31,0,0, M
1893-05-05,52,29,0,0, M
1893-05-06,58,26,0,0, M
1893-05-07,69,24,0,0, M
1893-05-08,72,31,0,0, M
1893-05-09,74,36,0,0, M
1893-05-10,72,46,1.4,0, M
1893-05-11,65, M,0,0, M
1893-05-12, M,41,0.1,0, M
1893-05-13,58,39,0,0, M
1893-05-14,59,43, T,0, M
1893-05-15,52,41,0,0, M
1893-05-16,62,29,0,0, M
1893-05-17,64,31,0,0, M
1893-05-18,75,29,0,0, M
1893-05-19,76,48,0,0, M
1893-05-20,66,52,0,0, M
1893-05-21,71,35,0,0, M
1893-05-22,45,36,0.2,0, M
1893-05-23,58,33,0,0, M
1893-05-24,42,35,0.6,0, M
1893-05-25,62,33,0,0, M
1893-05-26,58,36, T,0, M
1893-05-27,63,42, T,0, M
1893-05-28,72,32,0,0, M
1893-05-29,72,53,0,0, M
1893-05-30,72,42, T,0, M
1893-05-31,81,40,0,0, M
1893-06-01,70,51, T, M, M
1893-06-02,80,50,0.1, M, M
1893-06-03,84,53,0.1, M, M
1893-06-04,66,53,0.35, M, M
1893-06-05,61,50,0, M, M
1893-06-06,73,43, T, M, M
1893-06-07,82,49,0, M, M
1893-06-08,80,64,0, M, M
1893-06-09,68,53,0, M, M
1893-06-10,77,48,0, M, M
1893-06-11,85,49,0, M, M
1893-06-12,97,65,0, M, M
1893-06-13,99,61,0, M, M
1893-06-14,94,65,0, M, M
1893-06-15,87,60,0, M, M
1893-06-16,85,60,0, M, M
1893-06-17,94,53,0, M, M
1893-06-18,92,62,0, M, M
1893-06-19,95,70, T, M, M
1893-06-20,93,70,0.7, M, M
1893-06-21,85,58,0, M, M
1893-06-22,81,49,0, M, M
1893-06-23,85,49,0, M, M
1893-06-24,83,64, T, M, M
1893-06-25,78,60,0, M, M
1893-06-26,83,49,0, M, M
1893-06-27,86,53,0, M, M
1893-06-28,93,50,0, M, M
1893-06-29,88,56, T, M, M
1893-06-30,80,60,0, M, M
1893-07-01,82,52, M, M, M
1893-07-02,82,54, M, M, M
1893-07-03,84,40, M, M, M
1893-07-04,75,42,1.3, M, M
1893-07-05,80,51, M, M, M
1893-07-06,80,56, M, M, M
1893-07-07,77,64,1.25, M, M
1893-07-08,75,55, M, M, M
1893-07-09,76,51, M, M, M
1893-07-10,78,47, M, M, M
1893-07-11,88,60, M, M, M
1893-07-12,88,60, M, M, M
1893-07-13,89,71, M, M, M
1893-07-14,81,57, M, M, M
1893-07-15,83,60, M, M, M
1893-07-16,80,58,0.22, M, M
1893-07-17,79,52, M, M, M
1893-07-18,82,53, M, M, M
1893-07-19,86,51, M, M, M
1893-07-20,86,52, M, M, M
1893-07-21,88,51, M, M, M
1893-07-22,82,60, M, M, M
1893-07-23,89,56, M, M, M
1893-07-24,97,65,0.85, M, M
1893-07-25,88,60, M, M, M
1893-07-26,75,55, M, M, M
1893-07-27,83,45, M, M, M
1893-07-28,81,58,0.15, M, M
1893-07-29,84,49, M, M, M
1893-07-30,85,52,1.75, M, M
1893-07-31,80,48, M, M, M
1893-08-01,81,45,0, M, M
