Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1891-08-01,81,48,0.02, M, M
1891-08-02,87,52,0, M, M
1891-08-03,87,51,0, M, M
1891-08-04,88,50, T, M, M
1891-08-05,86,54,0.68, M, M
1891-08-06,79,57, T, M, M
1891-08-07,79,48,0, M, M
1891-08-08,82,40,0, M, M
1891-08-09,85,48,0, M, M
1891-08-10,87,44,0, M, M
1891-08-11,82,48,0, M, M
1891-08-12,88,51,0, M, M
1891-08-13,90,48,0, M, M
1891-08-14,84,64, T, M, M
1891-08-15,80,56, T, M, M
1891-08-16,82,51,0.01, M, M
1891-08-17,81,50,0, M, M
1891-08-18,86,58,0, M, M
1891-08-19,82,46,0, M, M
1891-08-20,82,52, T, M, M
1891-08-21,57,46,0.29, M, M
1891-08-22,71,38,0, M, M
1891-08-23,86,42,0, M, M
1891-08-24,87,46,0, M, M
1891-08-25,73,48,0, M, M
1891-08-26,71,55,0, M, M
1891-08-27,80,43,0, M, M
1891-08-28,80,48,0, M, M
1891-08-29,84,43,0, M, M
1891-08-30,90,44, T, M, M
1891-08-31,89,46,0, M, M
1891-09-01,80,49,0, M, M
1891-09-02,68,50,0, M, M
1891-09-03,85,34,0, M, M
1891-09-04,77,45, T, M, M
1891-09-05,82,40,0, M, M
1891-09-06,82,43,0, M, M
1891-09-07,77,51,0, M, M
1891-09-08,78,43,0, M, M
1891-09-09,84,41,0, M, M
1891-09-10,73,53, T, M, M
1891-09-11,72,47,0.05, M, M
1891-09-12,76,36,0, M, M
1891-09-13,84,40,0, M, M
1891-09-14,82,47,0, M, M
1891-09-15,82,39,0, M, M
1891-09-16,78,44,0, M, M
1891-09-17,74,37,0, M, M
1891-09-18,74,36,0, M, M
1891-09-19,77,37,0, M, M
1891-09-20,78,42,0, M, M
1891-09-21,78,48,0, M, M
1891-09-22,65,45,0.02, M, M
1891-09-23,52,36,0.42, M, M
1891-09-24,55,34,0.15, M, M
1891-09-25,56,29,0, M, M
1891-09-26,69,31,0, M, M
1891-09-27,69,39,0, M, M
1891-09-28,63,30,0, M, M
1891-09-29,78,36, T, M, M
1891-09-30,40,32,0.13, M, M
1891-10-01,35,26,1.5,15, M
1891-10-02,39,20, T, T, M
1891-10-03,42,10,0,0, M
1891-10-04,44,18,0,0, M
1891-10-05,42,19,0,0, M
1891-10-06,53,21,0,0, M
1891-10-07,59,23,0,0, M
1891-10-08,64,28,0,0, M
1891-10-09,63,30,0,0, M
1891-10-10,70,35, T,0, M
1891-10-11,53,42,0,0, M
1891-10-12,52,25,0,0, M
1891-10-13,55,22,0,0, M
1891-10-14,63,23,0,0, M
1891-10-15,64,31,0,0, M
1891-10-16,54,37,0,0, M
1891-10-17,54,22,0,0, M
1891-10-18,65,23,0,0, M
1891-10-19,72,27,0,0, M
1891-10-20,69,37,0,0, M
1891-10-21,65,28,0,0, M
1891-10-22,67,27,0,0, M
1891-10-23,68,38, T,0, M
1891-10-24,69,30,0,0, M
1891-10-25,68,31,0,0, M
1891-10-26,68,29,0,0, M
1891-10-27,70,28,0,0, M
1891-10-28,70,29,0,0, M
1891-10-29,65,31,0,0, M
1891-10-30,48,16,0,0, M
1891-10-31,43,19,0,0, M
1891-11-01,53,24,0,0, M
1891-11-02,58,23,0,0, M
1891-11-03,62,33,0,0, M
1891-11-04,69,38,0,0, M
1891-11-05,68,31,0,0, M
1891-11-06,59,34,0,0, M
1891-11-07,45,22,0,0, M
1891-11-08,40,15,0.28,2.8, M
1891-11-09,53,20,0,0, M
1891-11-10,52,23,0.02,0.2, M
1891-11-11,20,12,0.21,2.1, M
1891-11-12,32,11,0,0, M
1891-11-13,24,11,0.12,1.2, M
1891-11-14,25,0,0.02,0.2, M
1891-11-15,28,-3, T, T, M
1891-11-16,16,-15,0.11,1.1, M
1891-11-17,21,-6,0,0, M
1891-11-18,26,8,0,0, M
1891-11-19,39,15,0,0, M
1891-11-20,40,11,0,0, M
1891-11-21,33,14,0,0, M
1891-11-22,39,5,0,0, M
1891-11-23,46,16,0,0, M
1891-11-24,42,11, T, T, M
1891-11-25,47,26,0,0, M
1891-11-26,53,26,0,0, M
1891-11-27,49,31,0,0, M
1891-11-28,42,23,0,0, M
1891-11-29,45,15,0,0, M
1891-11-30,53,23, T,0, M
1891-12-01,50,25,0,0, M
1891-12-02,37,24, T, T, M
1891-12-03,31,17,0,0, M
1891-12-04,30,11,0,0, M
1891-12-05,27,6,0,0, M
1891-12-06,26,2,0,0, M
1891-12-07,37,3,0,0, M
1891-12-08,49,19,0,0, M
1891-12-09,45,33, T, T, M
1891-12-10,36,12,0,0, M
1891-12-11,35,4,0,0, M
1891-12-12,31,1,0,0, M
1891-12-13,43,5,0,0, M
1891-12-14,43,9,0,0, M
1891-12-15,40,9,0,0, M
1891-12-16,45,14,0,0, M
1891-12-17,42,12,0,0, M
1891-12-18,40,18,0,0, M
1891-12-19,38,13,0,0, M
1891-12-20,39,14,0,0, M
1891-12-21,30,18, T, T, M
1891-12-22,32,2,0,0, M
1891-12-23,29,12,0.42,4.2, M
1891-12-24,9,-3,0,0, M
1891-12-25,8,-25,0,0, M
1891-12-26,27,-15,0,0, M
1891-12-27,42,-4,0,0, M
1891-12-28,31,2,0,0, M
1891-12-29,38,4,0,0, M
1891-12-30,27,17,0.06,0.6, M
1891-12-31,25,12,0.08,0.8, M
1892-01-01,32,-5,0,0, M
1892-01-02,38,2,0,0, M
1892-01-03,50,16,0,0, M
1892-01-04,46,32,0,0, M
1892-01-05,21,10,0.16,1.6, M
1892-01-06,20,-12,0,0, M
1892-01-07,36,6,0,0, M
1892-01-08,23,-1,0,0, M
1892-01-09,18,2,0,0, M
1892-01-10,0,-7,0.06,0.6, M
1892-01-11,-1,-29,0,0, M
1892-01-12,5,-22,0,0, M
1892-01-13,10,-17,0,0, M
1892-01-14,29,-11,0,0, M
1892-01-15,40,4,0,0, M
1892-01-16,37,10, T, T, M
1892-01-17,15,-2,0.15,1.5, M
1892-01-18,10,-19,0,0, M
1892-01-19,44,-7,0,0, M
1892-01-20,35,7,0,0, M
1892-01-21,42,5,0,0, M
1892-01-22,33,2,0,0, M
1892-01-23,36,5,0,0, M
1892-01-24,37,3,0,0, M
1892-01-25,36,4,0,0, M
1892-01-26,39,10,0,0, M
1892-01-27,43,24,0,0, M
1892-01-28,40,11,0,0, M
1892-01-29,51,17,0,0, M
1892-01-30,57,22,0,0, M
1892-01-31,33,26,0.38,3.8, M
1892-02-01,30,22,0.04,0.4, M
1892-02-02,32,-2,0,0, M
1892-02-03,29,-5,0,0, M
1892-02-04,31,4,0,0, M
1892-02-05,30,2,0,0, M
1892-02-06,27,5,0.4,4, M
1892-02-07,22,-11,0,0, M
1892-02-08,23,-13,0,0, M
1892-02-09,26,-5,0,0, M
1892-02-10,48,1,0,0, M
1892-02-11,44,9,0,0, M
1892-02-12,49,14,0,0, M
1892-02-13,43,12,0,0, M
1892-02-14,30,8,0.01,0.1, M
1892-02-15,38,5,0,0, M
1892-02-16,42,10,0,0, M
1892-02-17,41,13,0,0, M
1892-02-18,47,22,0,0, M
1892-02-19,50,20,0,0, M
1892-02-20,52,24,0,0, M
1892-02-21,54,25,0,0, M
1892-02-22,52,29, T, T, M
