Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1938-04-01,31,18, T, M, M
1938-04-02,31,17,0, M, M
1938-04-03,37,26, T, M, M
1938-04-04,35,20,0, M, M
1938-04-05,33,20,0, M, M
1938-04-06,39,27,0, M, M
1938-04-07,42,24,0, M, M
1938-04-08,48,21,0, M, M
1938-04-09,51,29,0,0,0
1938-04-10,66,34,0,0,0
1938-04-11,63,43,0,0,0
1938-04-12,71,37,0,0,0
1938-04-13,78,46,0,0,0
1938-04-14,67,46,1.05,0,0
1938-04-15,53,45,0.25,0,0
1938-04-16,56,51,0.76,0,0
1938-04-17,73,51,0.23,0,0
1938-04-18,71,45,0,0,0
1938-04-19,63,34, T,0,0
1938-04-20,58,31,0.01,0,0
1938-04-21,48,35,0.1,0,0
1938-04-22,58,31,0,0,0
1938-04-23,49,39,0.47,0,0
1938-04-24,52,42,0.04,0,0
1938-04-25,60,40, T,0,0
1938-04-26,80,53,0,0,0
1938-04-27,78,60,0.14,0,0
1938-04-28,60,39,0.22,0,0
1938-04-29,58,35,0,0,0
1938-04-30,72,40,0,0,0
1938-05-01,82,58, T,0,0
1938-05-02,85,62,0.01,0,0
1938-05-03,82,58,0.07,0,0
1938-05-04,67,52,0.87,0,0
1938-05-05,55,36,0.97,0,0
1938-05-06,45,36,0.01,0,0
1938-05-07,43,35,0.39, T,0
1938-05-08,42,35,1.21,0,0
1938-05-09,62,41,0.06,0,0
1938-05-10,64,43,0.02,0,0
1938-05-11,59,37,0,0,0
1938-05-12,65,37,0,0,0
1938-05-13,60,45,0.22,0,0
1938-05-14,64,45,0.04,0,0
1938-05-15,66,46,0.01,0,0
1938-05-16,71,43,0.01,0,0
1938-05-17,56,52,1.17,0,0
1938-05-18,57,50,1,0,0
1938-05-19,53,48,0.31,0,0
1938-05-20,63,46, T,0,0
1938-05-21,69,50,0,0,0
1938-05-22,72,48, T,0,0
1938-05-23,59,47,0,0,0
1938-05-24,58,40,0.01,0,0
1938-05-25,67,47,0,0,0
1938-05-26,75,53,0.13,0,0
1938-05-27,66,56,0.3,0,0
1938-05-28,76,59, T,0,0
1938-05-29,82,58, T,0,0
1938-05-30,85,63,0,0,0
1938-05-31,76,64,0.16,0,0
1938-06-01,76,61,0.01,0,0
1938-06-02,78,52,0,0,0
1938-06-03,73,61,0.09,0,0
1938-06-04,72,55,0,0,0
1938-06-05,84,51,0,0,0
1938-06-06,73,53, T,0,0
1938-06-07,68,45,0,0,0
1938-06-08,75,46,0,0,0
1938-06-09,80,58,0,0,0
1938-06-10,69,55,0.73,0,0
1938-06-11,71,55,0,0,0
1938-06-12,76,51,0,0,0
1938-06-13,76,57,0.11,0,0
1938-06-14,88,62,0.01,0,0
1938-06-15,74,57,0.99,0,0
1938-06-16,64,55, T,0,0
1938-06-17,79,51,0,0,0
1938-06-18,83,57,0,0,0
1938-06-19,85,61,0,0,0
1938-06-20,86,63,0,0,0
1938-06-21,91,66,0,0,0
1938-06-22,94,68,0,0,0
1938-06-23,91,70,0.15,0,0
1938-06-24,85,65,0.51,0,0
1938-06-25,74,60,0.06,0,0
1938-06-26,76,57,0,0,0
1938-06-27,78,56,0,0,0
1938-06-28,76,59,0,0,0
1938-06-29,68,59, T,0,0
1938-06-30,83,62,0.3,0,0
1938-07-01,79,69, T,0,0
1938-07-02,88,70, T,0,0
1938-07-03,85,69, T,0,0
1938-07-04,87,67,0.85,0,0
1938-07-05,88,68,0.45,0,0
1938-07-06,86,68,0.51,0,0
1938-07-07,82,65,0.07,0,0
1938-07-08,82,63,0.14,0,0
1938-07-09,85,61,0.51,0,0
1938-07-10,81,62, T,0,0
1938-07-11,87,64,0,0,0
1938-07-12,95,70,0,0,0
1938-07-13,83,69,0,0,0
1938-07-14,77,63,0,0,0
1938-07-15,86,59,0,0,0
1938-07-16,83,68,0,0,0
1938-07-17,85,60,0,0,0
1938-07-18,91,59,0.02,0,0
1938-07-19,78,65,0,0,0
1938-07-20,82,58,0,0,0
1938-07-21,78,60, T,0,0
1938-07-22,76,59,0.31,0,0
1938-07-23,80,56,0,0,0
1938-07-24,89,64, T,0,0
1938-07-25,79,63,0.01,0,0
1938-07-26,79,64,0.04,0,0
1938-07-27,80,62, T,0,0
1938-07-28,85,58,0,0,0
1938-07-29,90,61, T,0,0
1938-07-30,70,64,0.45,0,0
1938-07-31,85,64,0,0,0
1938-08-01,94,67,0,0,0
1938-08-02,95,73,0,0,0
1938-08-03,87,67, T,0,0
1938-08-04,91,59,0,0,0
1938-08-05,87,63,0.85,0,0
