Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1948-01-01,40,10, T, T,4
1948-01-02,40,33,0.01, T,2
1948-01-03,40,25, T, T,1
1948-01-04,38,22,0.15,2.5,3
1948-01-05,31,17, T, T,3
1948-01-06,36,21,0.42, T,2
1948-01-07,37,29,0.58,0,1
1948-01-08,39,17,0.03,0.5,1
1948-01-09,31,11, T, T,1
1948-01-10,30,4,0.03,0.4,1
1948-01-11,36,20,0.01,0.1,1
1948-01-12,26,3,0,0,1
1948-01-13,23,-1,0,0,1
1948-01-14,23,0,0,0,1
1948-01-15,30,7,0,0,1
1948-01-16,23,1,0,0,1
1948-01-17,27,6,0.02,0.4,2
1948-01-18,23,4, T, T,2
1948-01-19,32,10,0,0,2
1948-01-20,29,11,0,0,1
1948-01-21,43,25,0,0,1
1948-01-22,42,36, T,0, T
1948-01-23,40,32,0.04, T, T
1948-01-24,38,23,0.03,0.3, T
1948-01-25,25,9, T, T, T
1948-01-26,16,-1,0,0, T
1948-01-27,20,-2,0,0, T
1948-01-28,25,2,0,0, T
1948-01-29,26,1,0,0, T
1948-01-30,37,9, T, T, T
1948-01-31,32,15,0,0, T
1948-02-01,30,16, T, T, T
1948-02-02,25,8,0,0, T
1948-02-03,18,-1, T, T, T
1948-02-04,24,9, T, T, T
1948-02-05,15,3,0,0, T
1948-02-06,19,-3,0,0, T
1948-02-07,24,1, T, T, T
1948-02-08,38,15, T, T, T
1948-02-09,34,19, T, T, T
1948-02-10,21,5, T, T, T
1948-02-11,20,-1,0,0, T
1948-02-12,21,0,0,0, T
1948-02-13,37,20, T, T, T
1948-02-14,49,31, T, T, T
1948-02-15,43,32,0.25,0.7, T
1948-02-16,42,30,0.16,2.6,1
1948-02-17,56,35, T,0, T
1948-02-18,50,29,0.16, T, T
1948-02-19,33,25, T, T, T
1948-02-20,32,22, T,0.4, T
1948-02-21,46,29,0.01, T, T
1948-02-22,45,32,0.08, T, T
1948-02-23,38,30,0.06,0.3, T
1948-02-24,41,28,0,0, T
1948-02-25,44,33,0.16, T,0
1948-02-26,46,29,0.09, T,0
1948-02-27,35,26, T, T, T
1948-02-28,39,26, T, T,0
1948-02-29,36,27, T, T,0
1948-03-01,40,28, T, T,0
1948-03-02,36,19,0.05,1.9, T
1948-03-03,29,14, T, T, T
1948-03-04,34,11,0,0, T
1948-03-05,40,15,0,0,0
1948-03-06,41,20, T, T,0
1948-03-07,38,28,0.05,1, T
1948-03-08,30,15, T, T,1
1948-03-09,18,5, T, T, T
1948-03-10,23,-2,0,0, T
1948-03-11,35,5,0,0, T
1948-03-12,49,17,0,0,0
1948-03-13,51,23, T, T,0
1948-03-14,42,25, T, T,0
1948-03-15,46,24,0,0,0
1948-03-16,46,25,0,0,0
1948-03-17,48,30, T, T,0
1948-03-18,41,30, T, T, T
1948-03-19,37,24, T, T,0
1948-03-20,39,24, T, T,0
1948-03-21,47,29, T, T,0
1948-03-22,46,31,0.05, T,0
1948-03-23,35,30,0.07,1.2, T
1948-03-24,41,30,0.03, T,0
1948-03-25,38,33,0.01, T,0
1948-03-26,46,28,0,0,0
1948-03-27,53,23,0,0,0
1948-03-28,60,30,0,0,0
1948-03-29,53,28,0.11,0.5,0
1948-03-30,40,27,0.03,0.1, T
