Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1893-02-01,-6,-20,0,0, M
1893-02-02,-6,-10,0.2,2, M
1893-02-03,-6,-20,0,0, M
1893-02-04,23,-13,0,0, M
1893-02-05,26, M,0,0, M
1893-02-06, M,-20,0,0, M
1893-02-07,6,-20,0,0, M
1893-02-08,36,0,0,0, M
1893-02-09,36,12,0,0, M
1893-02-10,27,3,0,0, M
1893-02-11,36,10,0,0, M
1893-02-12,54,20,0,0, M
1893-02-13,56,30,0.62,6, M
1893-02-14,43,3,0,0, M
1893-02-15,33,-5,0,0, M
1893-02-16,32,16,0,0, M
1893-02-17,36,18,0,0, M
1893-02-18,43,23,0,0, M
1893-02-19,48,30,0,0, M
1893-02-20,44,20, M, T, M
1893-02-21,44,24,0,0, M
1893-02-22,45,17,0,0, M
1893-02-23,45,27,0,0, M
1893-02-24,42,24,0,0, M
1893-02-25,32,18,0,0, M
1893-02-26,30,16, M, T, M
1893-02-27,19,9, M,3, M
1893-02-28,25,7,0.3,0, M
1893-03-01,36,6,0,0, M
1893-03-02,32,18,0,0, M
1893-03-03,24,4,0,0, M
1893-03-04,25,-3,0,0, M
1893-03-05,29,9,0,0, M
1893-03-06,40,10,0,0, M
1893-03-07,48,22,0,0, M
1893-03-08,42,34,1.03,0, M
1893-03-09,56,32,0.12,0, M
1893-03-10,61,37,0,0, M
1893-03-11,42,28,0,0, M
1893-03-12,65,29,0,0, M
1893-03-13,58,20,0,0, M
1893-03-14,20,5,0,0, M
1893-03-15,26,-2,0,0, M
1893-03-16,27,19,0.2,2, M
1893-03-17,22,12,0,0, M
1893-03-18,40,4,0,0, M
1893-03-19,37,9,0,0, M
1893-03-20,44,30,0,0, M
1893-03-21,43,25,0,0, M
1893-03-22,35,27, T,0, M
1893-03-23, M, M,1,0, M
1893-03-24,25,17,0,0, M
1893-03-25,30,8,0,0, M
1893-03-26,44,24,0,0, M
1893-03-27,40,32, T,0, M
1893-03-28,48,30,0,0, M
1893-03-29,70,32,0,0, M
1893-03-30,71,35,0,0, M
1893-03-31,70,50,0,0, M
1893-04-01,60,30,0,0, M
1893-04-02,72,42,0,0, M
1893-04-03,79,51,0,0, M
1893-04-04,70,36,0,0, M
1893-04-05,68,42,0,0, M
1893-04-06,61,39,0,0, M
1893-04-07,68,30,0,0, M
1893-04-08,45,30,0,0, M
1893-04-09,68,28,0,0, M
1893-04-10,68,32,0,0, M
1893-04-11,76,46,0.38,0, M
1893-04-12,62,38,0.02,0, M
1893-04-13,45,23,0,0, M
1893-04-14,44,22,0,0, M
1893-04-15,62,30,0,0, M
1893-04-16,57,31,0,0, M
1893-04-17,75,39,0,0, M
1893-04-18,71,49,0,0, M
1893-04-19,64,32,1,0, M
1893-04-20,38,30, T,0, M
1893-04-21,45,27,0,0, M
1893-04-22,51,25,0,0, M
1893-04-23,64,26,0,0, M
1893-04-24,73,25,0,0, M
1893-04-25,66,40,0.6,0, M
1893-04-26,42,32,0.5,2, M
1893-04-27,60,32,0,0, M
1893-04-28,46,34,0,0, M
1893-04-29,44,28,0,0, M
1893-04-30,41,31,0.05,0, M
1893-05-01,50,32,0, M, M
1893-05-02,58,30,0, M, M
1893-05-03,66,38,0, M, M
1893-05-04,59,41,1.2, M, M
1893-05-05,48,37,0.01, M, M
1893-05-06,58,38,0, M, M
1893-05-07,60,43,0, M, M
1893-05-08,52,49,0.21, M, M
1893-05-09,65,45,0.02, M, M
1893-05-10,82,50,0, M, M
1893-05-11,76,50,0, M, M
1893-05-12,75,45,0, M, M
1893-05-13,84,49,0, M, M
1893-05-14,80,45,0, M, M
1893-05-15,65,40,0, M, M
1893-05-16,71,39,0, M, M
1893-05-17,78,48,0, M, M
1893-05-18,82,52,0, M, M
1893-05-19,80,52,0, M, M
1893-05-20,78,48,0, M, M
1893-05-21,85, M,0, M, M
1893-05-22,76,42,1.33, M, M
1893-05-23,69,35,0, M, M
1893-05-24,68,45,0, M, M
1893-05-25,57, M,0, M, M
1893-05-26,59,45,0.01, M, M
1893-05-27,68,38,0, M, M
1893-05-28,75,48,0, M, M
1893-05-29, M, M,0.1, M, M
1893-05-30,78, M,0.27, M, M
1893-05-31,75,52,0.68, M, M
1893-06-01, M, M,0, M, M
1893-06-02, M, M,0, M, M
1893-06-03, M, M,1.07, M, M
1893-06-04, M, M,0, M, M
1893-06-05, M, M,0, M, M
1893-06-06,78,48,0, M, M
1893-06-07,83,55,0, M, M
1893-06-08,89,62,0, M, M
1893-06-09,77,58,0.09, M, M
1893-06-10,82,59,0, M, M
1893-06-11,90,70,0, M, M
1893-06-12,88,68,0, M, M
1893-06-13,88,68,0, M, M
1893-06-14,87,69,0, M, M
1893-06-15,74,64,0, M, M
1893-06-16,77,57,0, M, M
1893-06-17,88,60,0, M, M
1893-06-18,88,68,0, M, M
1893-06-19,88,58,0, M, M
1893-06-20,92,68,0, M, M
1893-06-21,88,58,0, M, M
1893-06-22,84,47,0, M, M
1893-06-23,90,58,0, M, M
1893-06-24,89,58,0, M, M
1893-06-25,88,56,0, M, M
1893-06-26,86,64,0, M, M
1893-06-27,86,65,0, M, M
1893-06-28,80,62,0, M, M
1893-06-29,84,62,0, M, M
1893-06-30,84,62,0.02, M, M
1893-07-01,84,54,0.63, M, M
1893-07-02,84,52,0, M, M
1893-07-03,87,55,0, M, M
1893-07-04,82,59,2.32, M, M
1893-07-05,82,67,0.46, M, M
1893-07-06,84,66,0.26, M, M
1893-07-07,88,69,0.02, M, M
1893-07-08,80,55,0, M, M
1893-07-09,81,59,0, M, M
1893-07-10,88,65,0, M, M
1893-07-11,85,66, T, M, M
1893-07-12,94,70,0, M, M
1893-07-13,88,70,0, M, M
1893-07-14,89,73,0.1, M, M
1893-07-15,88,64,0.5, M, M
1893-07-16,81,59,0, M, M
1893-07-17,80,60,0.1, M, M
1893-07-18,81,59,0, M, M
1893-07-19,82,60,0, M, M
1893-07-20,81,64,0, M, M
1893-07-21,86,63,0, M, M
1893-07-22,90,63,0, M, M
1893-07-23,92,63,0, M, M
1893-07-24,94,70,0, M, M
1893-07-25,97,68,0, M, M
1893-07-26,84,66,0, M, M
1893-07-27,79,63,1.08, M, M
1893-07-28,80,64,0.15, M, M
1893-07-29,82,56,0, M, M
1893-07-30,86,66,0, M, M
1893-07-31,80,48,0, M, M
1893-08-01,85,59,0, M, M
1893-08-02,80,62,0, M, M
1893-08-03,82,58,0, M, M
1893-08-04,88,68,0, M, M
1893-08-05,85,61,0.35, M, M
1893-08-06,84,62,0, M, M
1893-08-07,90,68,0, M, M
1893-08-08,91,72, T, M, M
1893-08-09,89,71,0, M, M
1893-08-10,80,72,0, M, M
1893-08-11,76,47,0, M, M
1893-08-12,74,47,0, M, M
1893-08-13,77,49,0, M, M
1893-08-14,75,59,0.64, M, M
1893-08-15,76,65,0, M, M
1893-08-16,76,49,0, M, M
1893-08-17,76,57,0.15, M, M
1893-08-18,83,68,0.04, M, M
1893-08-19,83,62,0, M, M
1893-08-20,87,61,0, M, M
1893-08-21,88,67,0, M, M
1893-08-22,80,70,0.2, M, M
1893-08-23,87,60,0, M, M
1893-08-24,75,53,0, M, M
1893-08-25, M, M,0, M, M
1893-08-26, M, M,0, M, M
1893-08-27,70,50,0.24, M, M
1893-08-28,68,40,0, M, M
1893-08-29,67,40,0, M, M
1893-08-30,72,45,0, M, M
1893-08-31,77,49,0, M, M
1893-09-01,74,52,0, M, M
1893-09-02,98,45,0, M, M
1893-09-03,92,56,0, M, M
1893-09-04,91,59,0, M, M
1893-09-05,84,58,0, M, M
1893-09-06,91,57,0, M, M
1893-09-07,87,58,0, M, M
1893-09-08,88,60,0, M, M
1893-09-09,87,65,0, M, M
1893-09-10,87,67,0, M, M
1893-09-11,86,63,0, M, M
1893-09-12,87,64,0, M, M
1893-09-13,86,67,0, M, M
1893-09-14,78,51,0, M, M
1893-09-15,71,51,0, M, M
1893-09-16,73,36,0, M, M
1893-09-17,89,60,0, M, M
1893-09-18,83,63,0, M, M
1893-09-19,70,40,0, M, M
1893-09-20,88,48,0, M, M
1893-09-21,82,58,0, M, M
1893-09-22,72,40,0, M, M
1893-09-23,71,35,0, M, M
1893-09-24,69,41,0, M, M
1893-09-25,55,25,0, M, M
1893-09-26,68,38,0, M, M
1893-09-27,60,35,0, M, M
1893-09-28,70,40,0, M, M
1893-09-29,58,52,1.15, M, M
1893-09-30,71,53,0, M, M
1893-10-01,71,49,0, M, M
1893-10-02,52,38,0, M, M
1893-10-03,72,38,0, M, M
1893-10-04,63,48,0, M, M
1893-10-05,57,47,0.3, M, M
1893-10-06,64,38,0, M, M
1893-10-07,65,48,0, M, M
1893-10-08,85,53,0, M, M
1893-10-09,77,50,0, M, M
1893-10-10,69,59,0, M, M
1893-10-11,63,36,0, M, M
1893-10-12,54,25,0, M, M
1893-10-13,62,36,0, M, M
1893-10-14,60,30,0, M, M
1893-10-15,60,25,0, M, M
1893-10-16,74,45,0, M, M
1893-10-17,70,48,0, M, M
1893-10-18,64,40,0, M, M
1893-10-19,60,38,0, M, M
1893-10-20,72,35,0, M, M
1893-10-21,72,35,0, M, M
1893-10-22,72, M,0, M, M
1893-10-23, M,35,0, M, M
1893-10-24,54,24,0, M, M
1893-10-25,54,40,0, M, M
1893-10-26,45,25,0.03, M, M
1893-10-27,56,34,0.02, M, M
1893-10-28,36,18,0.05,0.5, M
1893-10-29,44,28,0, M, M
1893-10-30,63,28,0, M, M
1893-10-31,68,48,0, M, M
1893-11-01,70, M,0,0, M
1893-11-02, M,20,0,0, M
