Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1935-06-01,66,60,0.32,0, M
1935-06-02,82,59,0.44,0, M
1935-06-03,74,54,0.15,0, M
1935-06-04,66,51, T,0, M
1935-06-05,71,46, T,0, M
1935-06-06,52,46, T,0, M
1935-06-07,66,40,0,0, M
1935-06-08,74,49,0,0, M
1935-06-09,78,58,0,0, M
1935-06-10,84,61,0.05,0, M
1935-06-11,85,56,0,0, M
1935-06-12,86,59,0,0, M
1935-06-13,84,65, T,0, M
1935-06-14,87,69,0,0, M
1935-06-15,85,72, T,0, M
1935-06-16,92,69,0,0, M
1935-06-17,73,62,0.08,0, M
1935-06-18,62,53,0.05,0, M
1935-06-19,73,53,0,0, M
1935-06-20,75,58,0.27,0, M
1935-06-21,68,57,0,0, M
1935-06-22,78,53,0,0, M
1935-06-23,84,58,0,0, M
1935-06-24,80,63,0.76,0, M
1935-06-25,81,67,0.05,0, M
1935-06-26,84,58,2.9,0, M
1935-06-27,86,63,0.17,0, M
1935-06-28,85,64,0,0, M
1935-06-29,86,67,0,0, M
1935-06-30,81,70,0.01,0, M
1935-07-01,90,70,0,0, M
1935-07-02,91,75,0,0, M
1935-07-03,93,71,0.32,0, M
1935-07-04,91,69,0.02,0, M
1935-07-05,97,75,0,0, M
1935-07-06,96,72,0,0, M
1935-07-07,97,74,0,0, M
1935-07-08,97,69,0.48,0, M
1935-07-09,92,70,0.12,0, M
1935-07-10,98,75,0,0, M
1935-07-11,99,75, T,0, M
1935-07-12,85,70,0,0, M
1935-07-13,89,64,0,0, M
1935-07-14,94,64,0,0, M
1935-07-15,91,65,0,0, M
1935-07-16,92,67,0,0, M
1935-07-17,99,68,0,0, M
1935-07-18,95,73,0,0, M
1935-07-19,92,73,0,0, M
1935-07-20,93,72,0,0, M
1935-07-21,98,74,0,0, M
1935-07-22,95,75,0,0, M
1935-07-23,99,72,0.17,0, M
1935-07-24,94,72,0,0, M
1935-07-25,94,74,0,0, M
1935-07-26,98,73,0,0, M
1935-07-27,102,76,0,0, M
1935-07-28,103,79,0,0, M
1935-07-29,101,74,0,0, M
1935-07-30,101,76,0,0, M
1935-07-31,101,77,0,0, M
1935-08-01,98,72,0.2,0, M
1935-08-02,86,71,0.08,0, M
1935-08-03,95,69, T,0, M
1935-08-04,93,66,0.03,0, M
1935-08-05,98,75,0,0, M
1935-08-06,95,74,0,0, M
1935-08-07,97,72,0,0, M
1935-08-08,98,73,0,0, M
1935-08-09,102,74,0,0, M
1935-08-10,101,70,0,0, M
1935-08-11,103,71, T,0, M
1935-08-12,83,65, T,0, M
1935-08-13,94,59,0,0, M
1935-08-14,89,64,0,0, M
1935-08-15,92,64,0,0, M
1935-08-16,97,72,0,0, M
1935-08-17,96,75,0.02,0, M
1935-08-18,94,75, T,0, M
1935-08-19,92,70,0.42,0, M
1935-08-20,78,64,0,0, M
1935-08-21,84,61,0,0, M
1935-08-22,80,64,0.82,0, M
1935-08-23,83,63,0,0, M
1935-08-24,86,63,0,0, M
1935-08-25,84,67, T,0, M
1935-08-26,85,60,0,0, M
1935-08-27,77,51,0,0, M
1935-08-28,63,52,0.04,0, M
1935-08-29,68,51,0.47,0, M
1935-08-30,73,50,0.02,0, M
1935-08-31,62,54,0.05,0, M
1935-09-01,59,56,1.18,0, M
1935-09-02,63,56, T,0, M
1935-09-03,70,50,0.04,0, M
1935-09-04,69,46,0,0, M
1935-09-05,77,44,0,0, M
1935-09-06,79,55,0,0, M
1935-09-07,70,61,0.26,0, M
1935-09-08,66,57,0.38,0, M
1935-09-09,76,48,0,0, M
1935-09-10,80,48,0,0, M
1935-09-11,79,52,0,0, M
1935-09-12,87,57,0,0, M
1935-09-13,87,61,0,0, M
1935-09-14,88,61,0,0, M
