Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1940-06-20,72,59,0,0, M
1940-06-21,71,51,0,0, M
1940-06-22,72,55,0,0, M
1940-06-23,73,60,0,0, M
1940-06-24,78,60,0.47,0, M
1940-06-25,75,59, T,0, M
1940-06-26,75,60,0.02,0, M
1940-06-27,81,59, T,0, M
1940-06-28,84,64,0.28,0, M
1940-06-29,82,65,0.28,0, M
1940-06-30,78,58,0.14,0, M
1940-07-01,76,56, T,0, M
1940-07-02,79,52,0,0, M
1940-07-03,78,54,0.29,0, M
1940-07-04,72,57,0.11,0, M
1940-07-05,80,57,0,0, M
1940-07-06,82,56,0,0, M
1940-07-07,84,55,0,0, M
1940-07-08,85,58,0,0, M
1940-07-09,86,62,0,0, M
1940-07-10,93,68,0,0, M
1940-07-11,95,70,0.23,0, M
1940-07-12,75,59, T,0, M
1940-07-13,75,57,0.04,0, M
1940-07-14,82,52,0,0, M
1940-07-15,83,56,0,0, M
1940-07-16,86,64,0,0, M
1940-07-17,81,66,1.42,0, M
1940-07-18,85,65,0,0, M
1940-07-19,92,67,0,0, M
1940-07-20,97,73, T,0, M
1940-07-21,98,75,0,0, M
1940-07-22,95,72,0.23,0, M
1940-07-23,80,70,0.02,0, M
1940-07-24,88,71,0.2,0, M
1940-07-25,93,71,0.24,0, M
1940-07-26,98,70,0,0, M
1940-07-27,100,73, T,0, M
1940-07-28,99,74,0,0, M
1940-07-29,96,72,0,0, M
1940-07-30,96,74,0.12,0, M
1940-07-31,91,69,0,0, M
1940-08-01,80,63,0,0, M
1940-08-02,77,60,0,0, M
1940-08-03,84,59,0,0, M
1940-08-04,86,59,0,0, M
1940-08-05,90,66,0,0, M
1940-08-06,94,70,1.55,0, M
1940-08-07,79,66,0.28,0, M
1940-08-08,85,66,0,0, M
1940-08-09,87,64,0,0, M
1940-08-10,84,64,0,0, M
1940-08-11,83,62,0,0, M
1940-08-12,84,67, T,0, M
1940-08-13,89,68,0.07,0, M
1940-08-14,87,66, T,0, M
1940-08-15,82,65,0,0, M
1940-08-16,76,65,0.15,0, M
1940-08-17,81,70,0.98,0, M
1940-08-18,83,70,0.03,0, M
1940-08-19,85,59,0.73,0, M
1940-08-20,75,55,0,0, M
1940-08-21,75,54,0,0, M
1940-08-22,76,52,0,0, M
1940-08-23,82,58, T,0, M
1940-08-24,72,52,0,0, M
1940-08-25,70,50,0.77,0, M
1940-08-26,60,56,0.68,0, M
1940-08-27,64,58,0.83,0, M
1940-08-28,67,62,0.75,0, M
1940-08-29,69,59,0.03,0, M
1940-08-30,76,64, T,0, M
1940-08-31,87,67,0.9,0, M
1940-09-01,75,68,1.6,0, M
1940-09-02,84,64,0,0, M
1940-09-03,82,63,0,0, M
1940-09-04,82,61,0,0, M
1940-09-05,80,58,0,0, M
1940-09-06,75,54,0,0, M
1940-09-07,72,52,0,0, M
1940-09-08,74,55,0.08,0, M
1940-09-09,80,61,0.32,0, M
1940-09-10,78,61,0.01,0, M
1940-09-11,62,49,0,0, M
1940-09-12,70,45,0,0, M
1940-09-13,72,49,0,0, M
1940-09-14,74,50,0,0, M
1940-09-15,75,55,0,0, M
1940-09-16,72,54,0,0, M
1940-09-17,78,54,0,0, M
1940-09-18,81,54,0,0, M
1940-09-19,80,53,0,0, M
1940-09-20,84,61,0,0, M
1940-09-21,91,66,0.11,0, M
1940-09-22,80,65,0,0, M
1940-09-23,78,55,0,0, M
1940-09-24,80,62,0,0, M
1940-09-25,73,44,1.31,0, M
1940-09-26,59,38,0,0, M
1940-09-27,66,39,0,0, M
1940-09-28,71,40,0,0, M
1940-09-29,74,44,0,0, M
1940-09-30,62,52,0,0, M
1940-10-01,60,49,0.05,0, M
1940-10-02,56,49,0.76,0, M
1940-10-03,72,50,0.01,0, M
1940-10-04,65,45,0,0, M
1940-10-05,68,40,0,0, M
1940-10-06,73,50,0,0, M
1940-10-07,79,54,0,0, M
1940-10-08,64,52,0.41,0, M
1940-10-09,64,48,0,0, M
1940-10-10,65,44,0,0, M
1940-10-11,71,42,0,0, M
1940-10-12,76,49,0,0, M
1940-10-13,80,53,0,0, M
1940-10-14,74,53,0,0, M
1940-10-15,76,44, T,0, M
1940-10-16,52,40,0,0, M
1940-10-17,54,40,0,0, M
1940-10-18,56,34,0,0, M
1940-10-19,41,30,0.16,0.5, M
1940-10-20,46,30, T,1.5, M
1940-10-21,53,31, T,0, M
1940-10-22,50,26,0,0, M
1940-10-23,66,35,0,0, M
1940-10-24,76,47,0,0, M
1940-10-25,60,42,0.05,0, M
1940-10-26,63,37,0,0, M
1940-10-27,54,32,0.11,0, M
1940-10-28,50,34, T,0, M
1940-10-29,50,30,0.01,0, M
1940-10-30,50,43,0.75,0, M
1940-10-31,58,36,0,0, M
1940-11-01,57,46,0.13,0, M
1940-11-02,64,46,0.86,0, M
1940-11-03,61,43,0,0, M
1940-11-04,66,39,0,0, M
1940-11-05,68,44, T,0, M
1940-11-06,61,42, T,0, M
1940-11-07,44,40, T,0, M
1940-11-08,46,36, T,0, M
1940-11-09,50,33,0,0, M
1940-11-10,57,34,0,0, M
1940-11-11,67,42,0.02,0, M
1940-11-12,63,43,0.37,0, M
1940-11-13,46,41,0.56,0, M
1940-11-14,45,40,1.08,0, M
1940-11-15,49,35,0.02,0, M
1940-11-16,40,31,0,0, M
1940-11-17,47,30, T, T, M
1940-11-18,49,30,0,0, M
1940-11-19,48,28,0,0, M
1940-11-20,58,35,0,0, M
1940-11-21,57,43,0,0, M
1940-11-22,70,44,0.01,0, M
1940-11-23,55,41,0.02,0, M
1940-11-24,48,37,0.19,0, M
1940-11-25,43,26,0,0, M
1940-11-26,39,24,1.07,0, M
1940-11-27,41,32, T,0, M
1940-11-28,39,27,0,0, M
1940-11-29,44,27, T, T, M
1940-11-30,50,29, T,0, M
1940-12-01,50,30,0,0, M
1940-12-02,39,21, T,0, M
1940-12-03,34,14,0,0, M
1940-12-04,34,12,0.04,0, M
1940-12-05,35,24,0.3,3.5, M
1940-12-06,36,19,0,0, M
1940-12-07,50,32, T,0, M
1940-12-08,47,32,0,0, M
1940-12-09,41,27,0,0, M
1940-12-10,51,28,0,0, M
1940-12-11,46,33,0,0, M
1940-12-12,50,34,0.14,0, M
1940-12-13,54,35,0.02,0, M
1940-12-14,40,28,0.01,0, M
1940-12-15,39,27,0,0, M
1940-12-16,51,38,0.82,0, M
1940-12-17,49,29,0,0, M
1940-12-18,43,23,0,0, M
1940-12-19,43,28,0,0, M
1940-12-20,47,33, T,0, M
1940-12-21,51,38,0,0, M
1940-12-22,52,34, T,0, M
1940-12-23,45,27,0,0, M
1940-12-24,48,23,0,0, M
1940-12-25,60,28,0,0, M
1940-12-26,52,44,0.18,0, M
1940-12-27,49,44, T,0, M
1940-12-28,52,45,0.73,0, M
1940-12-29,63,47,0.16,0, M
1940-12-30,47,39,0.06,0, M
1940-12-31,47,34,0,0, M
1941-01-01,47,32,0,0, M
1941-01-02,40,32,0.37,0, M
1941-01-03,40,36,0.02,0, M
1941-01-04,43,20,0.01, T, M
1941-01-05,30,19,0,0, M
1941-01-06,37,23,0,0, M
1941-01-07,35,22,0,0, M
1941-01-08,37,19,0,0, M
1941-01-09,39,23, T,0, M
1941-01-10,37,26,0,0, M
1941-01-11,36,24,0,0, M
1941-01-12,40,26,0,0, M
1941-01-13,43,18,0,0, M
1941-01-14,30,14,0,0, M
1941-01-15,26,24, T,0, M
1941-01-16,35,25,1.02,0, M
1941-01-17,37,34,0.01,0, M
1941-01-18,41,35,0,0, M
1941-01-19,35,23, T,0, M
1941-01-20,34,23,0,0, M
1941-01-21,36,16,0,0, M
1941-01-22,48,22,0.1,0, M
1941-01-23,51,30,0,0, M
1941-01-24,37,28,0.9,0, M
1941-01-25,37,26, T,0, M
1941-01-26,35,25,0.07,0.4, M
1941-01-27,33,23,0.37,4.1, M
1941-01-28,29,22,0.01,0, M
1941-01-29,36,18,0,0, M
1941-01-30,33,12,0,0, M
1941-01-31,38,27, T,0, M
1941-02-01,35,20,0,0, M
1941-02-02,40,29,0,0, M
1941-02-03,34,25, T, T, M
1941-02-04,31,22,0,0, M
1941-02-05,36,20,0,0, M
1941-02-06,46,19,0,0, M
1941-02-07,44,32,0.84,0, M
1941-02-08,36,25, T, T, M
1941-02-09,37,20,0,0, M
1941-02-10,36,14,0,0, M
1941-02-11,44,18,0,0, M
1941-02-12,51,24,0,0, M
1941-02-13,50,29, T,0, M
1941-02-14,42,38,0.27,0, M
1941-02-15,42,29, T,0, M
1941-02-16,36,24, T, T, M
1941-02-17,36,26,0.21,1.3, M
1941-02-18,28,18,0,0, M
1941-02-19,28,16,0,0, M
1941-02-20,32,19,0,0, M
1941-02-21,36,22, T, T, M
1941-02-22,37,27,0.01, T, M
1941-02-23,39,27, T, T, M
1941-02-24,38,22,0,0, M
1941-02-25,47,26,0,0, M
1941-02-26,37,23,0,0, M
1941-02-27,37,22,0,0, M
1941-02-28,33,15,0.43,6.5, M
1941-03-01,34,17,0.1,8.6, M
1941-03-02,40,25,0,0, M
1941-03-03,49,29, T,0, M
1941-03-04,46,18, T,0, M
1941-03-05,37,19,0,0, M
1941-03-06,40,25,0,0, M
1941-03-07,32,26,0.6,1, M
1941-03-08,34,28,1.04,8, M
1941-03-09,36,29, T, T, M
1941-03-10,46,25,0,0, M
1941-03-11,44,34,0.51,0, M
1941-03-12,42,32, T,0, M
1941-03-13,38,28,0.01,0.1, M
1941-03-14,45,26,0,0, M
1941-03-15,52,27, T,0, M
1941-03-16,56,38,0.01,0, M
1941-03-17,44,17, T, T, M
1941-03-18,30,14,0,0, M
1941-03-19,39,23,0,0, M
1941-03-20,51,25,0,0, M
1941-03-21,46,29,0,0, M
1941-03-22,51,30,0,0, M
1941-03-23,58,29,0,0, M
1941-03-24,46,38,0,0, M
1941-03-25,47,33,0.28,0, M
1941-03-26,50,32,0.01,0, M
1941-03-27,54,34,0,0, M
1941-03-28,52,37,0,0, M
1941-03-29,48,30,0,0, M
1941-03-30,43,26, T,0, M
1941-03-31,59,28,0,0, M
1941-04-01,58,50,0,0, M
1941-04-02,56,37,0.42,0, M
1941-04-03,60,35,0.09,0, M
1941-04-04,64,39,0,0, M
1941-04-05,52,42,0,0, M
1941-04-06,50,38,1.29,0, M
1941-04-07,63,35,0.11,0, M
1941-04-08,64,34,0,0, M
