Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1998-06-07,72,46,0.15, M, M
1998-06-08,71,42,0, M, M
1998-06-09,74,45,0.01, M, M
1998-06-10,71,52,0, M, M
1998-06-11,72,45,0, M, M
1998-06-12,75,51,0, M, M
1998-06-13,73,52,0.02, M, M
1998-06-14,70,48, T, M, M
1998-06-15,66,44,0.26, M, M
1998-06-16,60,41,0.02, M, M
1998-06-17,70,39,0.01, M, M
1998-06-18,69,50, T, M, M
1998-06-19,64,47,0, M,0
1998-06-20,72,49,0.01, M, M
1998-06-21,77,44,0, M, M
1998-06-22,75,47,0, M, M
1998-06-23,73,50,0, M, M
1998-06-24,63,50,0.07, M, M
1998-06-25,63,48,0.02, M, M
1998-06-26,64,46, T, M, M
1998-06-27,69,42,0, M, M
1998-06-28,78,43,0, M, M
1998-06-29,83,43,0, M, M
1998-06-30,86,51,0, M, M
1998-07-01,84,53,0, M, M
1998-07-02,86,50,0.31, M, M
1998-07-03,76,56,0, M, M
1998-07-04,76,51,0, M, M
1998-07-05,77,49,0, M, M
1998-07-06,83,50,0, M, M
1998-07-07,88,54,0, M, M
1998-07-08,85,59,0.16, M, M
1998-07-09,89,57,0.46, M, M
1998-07-10,85,60,0.1, M, M
1998-07-11,76,55,0.16, M, M
1998-07-12,76,52,0, M, M
1998-07-13,76,53,0, M, M
1998-07-14,83,50,0, M, M
1998-07-15,87,52,0, M, M
1998-07-16,89,53,0, M, M
1998-07-17, M, M, M, M,0
1998-07-18, M, M,0, M, M
1998-07-19, M, M,0, M, M
1998-07-20, M, M,0, M,0
1998-07-21,91,48,0, M, M
1998-07-22,92,51,0, M, M
1998-07-23,90,55,0, M, M
1998-07-24,90,62,0, M, M
1998-07-25,95,56,0, M, M
1998-07-26,98,59,0, M, M
1998-07-27,99,59,0, M, M
1998-07-28,97,65,0, M, M
1998-07-29,96,68,0, M, M
1998-07-30,87,60,0.01, M, M
1998-07-31,76,58,0.02, M, M
1998-08-01,78,53,0.01, M, M
1998-08-02,90,60,0, M, M
1998-08-03,96,59,0, M, M
1998-08-04,100,69,0, M, M
1998-08-05,101,70,0, M, M
1998-08-06,85,55,0.05, M, M
1998-08-07,80,48,0, M, M
1998-08-08,88,45,0, M, M
1998-08-09,94,49,0, M, M
1998-08-10,90,57,0, M, M
1998-08-11,90,49,0, M, M
1998-08-12,92,52,0, M, M
1998-08-13,95,53,0, M, M
1998-08-14,95,54,0, M, M
1998-08-15,84,60,0, M, M
1998-08-16,71,48,0, M, M
1998-08-17,72,44,0, M, M
1998-08-18,73,38,0, M, M
1998-08-19,82,39,0, M, M
1998-08-20,91,45, T, M, M
1998-08-21,84,52,0, M, M
1998-08-22,82,47,0, M, M
1998-08-23,65,51,0.37, M, M
1998-08-24,75,48,0, M, M
1998-08-25,82,50,0, M, M
1998-08-26,78,45,0, M, M
1998-08-27,84,44,0, M, M
1998-08-28,96,59,0, M, M
1998-08-29,91,54,0, M, M
1998-08-30,90,48,0, M, M
1998-08-31,95,49,0, M, M
1998-09-01,96,50,0, M, M
1998-09-02,93,49,0, M, M
1998-09-03,96,52,0, M, M
1998-09-04,92,52,0, M, M
1998-09-05,92,50,0, M, M
1998-09-06,93,47,0, M, M
1998-09-07,89,63,0.01, M, M
1998-09-08,84,56,0.27, M, M
1998-09-09,61,51,0.03, M, M
1998-09-10,69,47, T, M, M
1998-09-11,77,44,0, M, M
1998-09-12,81,42,0, M, M
1998-09-13,81,45,0, M, M
