Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1926-01-02,33,28,0.02,0.3,3
1926-01-03,35,32,0,0,2
1926-01-04,42,35,0.14,0, T
1926-01-05,49,38, T,0, T
1926-01-06,38,29, T, T, T
1926-01-07,29,16,0.04,0.4, T
1926-01-08,27,14,0,0, T
1926-01-09,24,18,0.4,4.5,4
1926-01-10,31,21, T, T,3
1926-01-11,34,24,0.21,0.6,3
1926-01-12,31,11,0.04,2.4,5
1926-01-13,23,8, T, T,5
1926-01-14,26,14,0.01,0.1,4
1926-01-15,34,24,0.02,0.2,4
1926-01-16,39,18,0,0,3
1926-01-17,45,33,0.01,0,2
1926-01-18,44,35,0.46,0, T
1926-01-19,35,33,0.03,0, T
1926-01-20,42,29,0,0, T
1926-01-21,30,19,0.14,0.9,1
1926-01-22,19,7,0.03,0.8,1
1926-01-23,22,15, T, T,1
1926-01-24,23,16,0.13,1.5,3
1926-01-25,21,12,0.01,0.3,3
1926-01-26,28,11,0.09,0.7,3
1926-01-27,29,16,0.07,0.8,4
1926-01-28,22,1,0.1,0.9,4
1926-01-29,28,0,0.01,0.3,5
1926-01-30,46,28,0,0,1
1926-01-31,40,28,0.03, T, T
1926-02-01,30,23,0.24,1,1
1926-02-02,28,22,0.03,0.3,1
1926-02-03,25,19,0.16,0.7,2
1926-02-04,24,20,0.24,3.3,5
1926-02-05,24,18, T, T,4
1926-02-06,36,20,0,0,3
1926-02-07,35,19,0.08,0.8,3
1926-02-08,24,16,0,0,3
1926-02-09,24,13,0.09,0.8,3
1926-02-10,22,13,0.05,1,4
1926-02-11,14,7,0.04,0.4,5
1926-02-12,30,11,0, T,5
1926-02-13,39,25, T, T,4
1926-02-14,37,29,0.01,0,4
1926-02-15,36,20, T, T,3
1926-02-16,21,11, T, T,3
1926-02-17,41,13,0, T,2
1926-02-18,36,32,0.18,1.2,3
1926-02-19,34,15,0.28,2,5
1926-02-20,22,11,0.07,2.1,7
