Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1893-01-01,31,23,0, M, M
1893-01-02,25,7,0, M, M
1893-01-03,8,-9, M,0.8, M
1893-01-04,15,0,0, M, M
1893-01-05,15,1, M,1.5, M
1893-01-06,13,-7, M,3.5, M
1893-01-07,17,1,0, M, M
1893-01-08,20,-5,0, M, M
1893-01-09,22,2, M,0.3, M
1893-01-10,1,-12,0, M, M
1893-01-11,6,-9, M,5.3, M
1893-01-12,9,-6, M,1, M
1893-01-13,-4,-14,0, M, M
1893-01-14,-2,-15,0, M, M
1893-01-15,1,-17,0, M, M
1893-01-16,2,-12,0, M, M
1893-01-17,16,-19, M,0.5, M
1893-01-18,20,-1,0, M, M
1893-01-19,11,-17,0, M, M
1893-01-20,20,4, M,2.5, M
1893-01-21,25,18,0, M, M
1893-01-22,27,19,0, M, M
1893-01-23,25,-1,0, M, M
1893-01-24,29,10, M,9, M
1893-01-25,21,-5,0, M, M
1893-01-26,13,-3,0, M, M
1893-01-27,22,-6, M,0.3, M
1893-01-28,32,21,0.32, M, M
1893-01-29,32,1,0.52, M, M
1893-01-30,23,2,0, M, M
1893-01-31,33,0,0.15, M, M
1893-02-01,33,-6,0, M, M
1893-02-02,25,-3,0.25,1.5, M
1893-02-03,23,-8,0, M, M
1893-02-04,14,-18,0, M, M
1893-02-05,36,4,0.2, M, M
1893-02-06,36,-1,0.45,4.5, M
1893-02-07,-1,-13,0, M, M
1893-02-08,15,-17,0.15,1.5, M
1893-02-09,32,14,0.12,1.3, M
1893-02-10,33,14,0, M, M
1893-02-11,21,-5,0, M, M
1893-02-12,33,-1,0, M, M
1893-02-13,38,5,0, M, M
1893-02-14,39,31,0.21, M, M
1893-02-15,32,9,0, M, M
1893-02-16,27,6,0, M, M
1893-02-17,23,14,0.35,3.5, M
1893-02-18,24,19,0, M, M
1893-02-19,36,14,0, M, M
1893-02-20,18,-5,0, M, M
1893-02-21,29,15,0.17,1.8, M
1893-02-22,29,12,0, M, M
1893-02-23,30,23,0, M, M
1893-02-24,31,15,0, M, M
1893-02-25,23,9,0, M, M
1893-02-26,30,8,0, M, M
1893-02-27,41,28,0, M, M
1893-02-28,39,18,0.55, M, M
1893-03-01,36,22,0,0, M
1893-03-02,41,17,0.03,0, M
1893-03-03,32,11,0,0, M
1893-03-04,24,8,0,0, M
1893-03-05,27,7,0,0, M
1893-03-06,36,8,0,0, M
1893-03-07,40,27,0,0, M
1893-03-08,44,32,0.86,0, M
1893-03-09,43,35,0.32,0, M
1893-03-10,54,32,0.03,0, M
1893-03-11,52,36,0.01,0, M
1893-03-12,45,33,0,0, M
1893-03-13,60,31,0.15,1.5, M
1893-03-14,35,19,0,0, M
1893-03-15,19,7,0,0, M
1893-03-16,29,10,0,0, M
1893-03-17,34,19,0,0, M
1893-03-18,37,18,0.2,2, M
1893-03-19,35,28,0,0, M
1893-03-20,42,25,0.43,0, M
1893-03-21,40,27,0.15,1.5, M
1893-03-22,35,29,0.45,0, M
1893-03-23,58,32,0.43,0, M
1893-03-24,54,31,0.13,0, M
1893-03-25,33,27,0.02,0, M
1893-03-26,36,22,0,0, M
1893-03-27,38,23,0,0, M
1893-03-28,45,24,0,0, M
1893-03-29,48,26,0,0, M
1893-03-30,56,41,0,0, M
1893-03-31,65,37,0,0, M
1893-04-01,62,36,0, M, M
1893-04-02,64,28,0, M, M
1893-04-03,70,47,0, M, M
1893-04-04,65,46,0, M, M
1893-04-05,69,43,0, M, M
1893-04-06,49,34, T, M, M
1893-04-07,85,44,0.1, M, M
1893-04-08,64,44,0, M, M
1893-04-09,54,32,0, M, M
1893-04-10,62,42,0, M, M
1893-04-11,56,40,0.98, M, M
1893-04-12,67,52,0, M, M
1893-04-13,53,32,0, M, M
1893-04-14,33,28,0, M, M
1893-04-15,51,27,0, M, M
1893-04-16,59,38,0, M, M
1893-04-17,54,33,0.62, M, M
1893-04-18,59,41,0.22, M, M
1893-04-19,49,41,1.73, M, M
1893-04-20,44,34,0.58, M, M
1893-04-21,38,31,0.12, M, M
1893-04-22,37,30,0.15, M, M
1893-04-23,47,30,0.01, M, M
1893-04-24,48,33,0.11, M, M
1893-04-25,44,37,0, M, M
1893-04-26,57,38,0.36, M, M
1893-04-27,54,37,0, M, M
