Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1871-01-01, M, M,0, M, M
1871-01-02, M, M,0, M, M
1871-01-03, M, M,0, M, M
1871-01-04, M, M,0, M, M
1871-01-05, M, M,0, M, M
1871-01-06, M, M,0.01, M, M
1871-01-07, M, M,0.08, M, M
1871-01-08, M, M,0.09, M, M
1871-01-09, M, M,0, M, M
1871-01-10, M, M,0, M, M
1871-01-11, M, M,0, M, M
1871-01-12, M, M,0, M, M
1871-01-13, M, M,0, M, M
1871-01-14, M, M,0.05, M, M
1871-01-15, M, M,0.42, M, M
1871-01-16, M, M,0.57, M, M
1871-01-17, M, M,0, M, M
1871-01-18, M, M,0, M, M
1871-01-19, M, M,0, M, M
1871-01-20, M, M,0, M, M
1871-01-21, M, M, T, M, M
1871-01-22, M, M,0.01, M, M
1871-01-23, M, M,0.05, M, M
1871-01-24, M, M,0.04, M, M
1871-01-25, M, M,0.01, M, M
1871-01-26, M, M,0.04, M, M
1871-01-27, M, M,0, M, M
1871-01-28, M, M,0, M, M
1871-01-29, M, M,0, M, M
1871-01-30, M, M,0, M, M
1871-01-31, M, M,0.28, M, M
1871-02-01, M, M,0, M, M
1871-02-02, M, M,0, M, M
1871-02-03, M, M,0, M, M
1871-02-04, M, M,0, M, M
1871-02-05, M, M,0, M, M
1871-02-06, M, M, T, M, M
1871-02-07, M, M,0.23, M, M
1871-02-08, M, M,0.23, M, M
1871-02-09, M, M,0, M, M
1871-02-10, M, M,0, M, M
1871-02-11, M, M,0, M, M
1871-02-12, M, M,0, M, M
1871-02-13, M, M,0.06, M, M
1871-02-14, M, M,0, M, M
1871-02-15, M, M,0, M, M
1871-02-16, M, M,0, M, M
1871-02-17, M, M,0, M, M
1871-02-18, M, M,1.37, M, M
1871-02-19, M, M,0, M, M
1871-02-20, M, M,0.08, M, M
1871-02-21, M, M,0, M, M
1871-02-22, M, M,0, M, M
1871-02-23, M, M,0, M, M
1871-02-24, M, M,0.1, M, M
1871-02-25, M, M,0, M, M
1871-02-26, M, M,0.31, M, M
1871-02-27, M, M,0.06, M, M
1871-02-28, M, M,0.06, M, M
1871-03-01, M, M,0.01, M, M
1871-03-02, M, M,0.84, M, M
1871-03-03, M, M,0.01, M, M
1871-03-04, M, M,0, M, M
1871-03-05, M, M, T, M, M
1871-03-06, M, M,0.07, M, M
1871-03-07, M, M,0, M, M
1871-03-08, M, M,0, M, M
1871-03-09, M, M,0.01, M, M
1871-03-10, M, M,0, M, M
1871-03-11, M, M,0, M, M
1871-03-12, M, M,0.33, M, M
1871-03-13, M, M,0.08, M, M
1871-03-14, M, M, T, M, M
1871-03-15, M, M,0.19, M, M
1871-03-16, M, M,0.43, M, M
1871-03-17, M, M,0.07, M, M
1871-03-18, M, M,0, M, M
1871-03-19, M, M,0, M, M
1871-03-20, M, M,0.16, M, M
1871-03-21, M, M,0, M, M
1871-03-22, M, M,0, M, M
1871-03-23, M, M,0, M, M
1871-03-24, M, M, T, M, M
1871-03-25, M, M,0, M, M
1871-03-26, M, M,0.13, M, M
1871-03-27, M, M,0, M, M
1871-03-28, M, M,0, M, M
1871-03-29, M, M, T, M, M
1871-03-30, M, M,0.07, M, M
1871-03-31, M, M,0, M, M
1871-04-01, M, M,0, M, M
1871-04-02, M, M,0, M, M
1871-04-03, M, M,0.34, M, M
1871-04-04, M, M,0.13, M, M
1871-04-05, M, M,0.54, M, M
1871-04-06, M, M,0, M, M
1871-04-07, M, M,0, M, M
1871-04-08, M, M,0, M, M
1871-04-09, M, M,0, M, M
1871-04-10, M, M,0.18, M, M
1871-04-11, M, M,0, M, M
1871-04-12, M, M,0, M, M
1871-04-13, M, M,0, M, M
1871-04-14, M, M,0, M, M
1871-04-15, M, M,0, M, M
1871-04-16, M, M,0, M, M
1871-04-17, M, M,0.04, M, M
1871-04-18, M, M,0, M, M
1871-04-19, M, M,0.52, M, M
1871-04-20, M, M,0, M, M
1871-04-21, M, M, T, M, M
1871-04-22, M, M,0.01, M, M
1871-04-23, M, M,0, M, M
1871-04-24, M, M,0, M, M
1871-04-25, M, M,0.05, M, M
1871-04-26, M, M,0.34, M, M
1871-04-27, M, M,0.76, M, M
1871-04-28, M, M,0.02, M, M
1871-04-29, M, M,0.05, M, M
1871-04-30, M, M,0, M, M
1871-05-01, M, M,0, M, M
1871-05-02, M, M,0, M, M
1871-05-03, M, M,1.08, M, M
1871-05-04, M, M,0.14, M, M
1871-05-05, M, M,0, M, M
1871-05-06, M, M,0.01, M, M
1871-05-07, M, M,0, M, M
1871-05-08, M, M,0, M, M
1871-05-09, M, M,0, M, M
1871-05-10, M, M,0, M, M
1871-05-11, M, M,0, M, M
1871-05-12, M, M,0, M, M
1871-05-13, M, M,0, M, M
1871-05-14, M, M,0.02, M, M
1871-05-15, M, M,0, M, M
1871-05-16, M, M,0.19, M, M
1871-05-17, M, M,0, M, M
1871-05-18, M, M,0, M, M
1871-05-19, M, M,0, M, M
1871-05-20, M, M,0, M, M
1871-05-21, M, M,0, M, M
1871-05-22, M, M,0, M, M
