Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1955-01-01,47,28,0.26,0,0
1955-01-02,47,34,0,0,0
1955-01-03,50,31,0.04,0,0
1955-01-04,46,30, T,0,0
1955-01-05,55,33,0.92,0,0
1955-01-06,37,30,0.08, T,0
1955-01-07,36,25,0,0,0
1955-01-08,43,26,0,0,0
1955-01-09,39,33,0.01, T,0
1955-01-10,35,28,0,0,0
1955-01-11,34,23,0,0,0
1955-01-12,34,28,0.11,1.2,0
1955-01-13,33,25,0.01,0.2,1
1955-01-14,29,20,0.06,0.6,1
1955-01-15,33,22, T, T,1
1955-01-16,34,20,0,0,1
1955-01-17,29,13,0,0, T
1955-01-18,25,11, T, T, T
1955-01-19,27,14, T, T, T
1955-01-20,30,9,0,0, T
1955-01-21,36,21,0.03,0.2, T
1955-01-22,35,19, T, T, T
1955-01-23,23,14, T, T, T
1955-01-24,30,15,0.03,0.5, T
1955-01-25,30,15,0.01,0.2,1
1955-01-26,23,7,0.05,0.6,1
1955-01-27,13,-1, T, T,2
1955-01-28,14,2,0.03,0.4,1
1955-01-29,12,-5,0,0,1
1955-01-30,21,0,0.01,0.1,1
1955-01-31,33,3,0,0,1
1955-02-01,34,27, T, T,1
1955-02-02,27,8,0.02,0.2,1
1955-02-03,19,2,0,0,1
1955-02-04,28,15, T, T, T
1955-02-05,35,21,0.3,2.7, T
1955-02-06,35,29,0,0,2
1955-02-07,31,15,0,0,1
1955-02-08,34,18, T, T,1
1955-02-09,46,27,0,0,1
1955-02-10,48,20,0.2,1, T
1955-02-11,21,3, T, T,1
1955-02-12,22,2, T, T,1
1955-02-13,21,0, T, T,1
1955-02-14,34,19,0.08,0.8,1
1955-02-15,34,21, T, T,1
1955-02-16,38,31,0.27, T, T
1955-02-17,38,23,0,0, T
1955-02-18,37,21,0,0, T
1955-02-19,46,27, T,0, T
1955-02-20,51,39,0.38,0,0
1955-02-21,40,30,0,0,0
1955-02-22,37,27,0.09,1.2,1
1955-02-23,40,22,0,0,0
1955-02-24,44,24,0,0,0
1955-02-25,42,27,0,0,0
1955-02-26,43,31,0.2,0,0
1955-02-27,44,37,0.39,0,0
1955-02-28,46,38,0.67,0,0
1955-03-01,48,33,0.16,0,0
1955-03-02,48,34,0,0,0
1955-03-03,51,33,0.31,0,0
1955-03-04,40,33,0.09,0,0
1955-03-05,33,26, T, T, T
1955-03-06,30,22,0.01,0.1,0
1955-03-07,24,11,0.02,0.2, T
1955-03-08,38,12, T,0.1, T
1955-03-09,61,36,0,0,0
1955-03-10,65,36,0,0,0
1955-03-11,63,39,0.23,0,0
1955-03-12,60,34,0,0,0
1955-03-13,51,29,0,0,0
1955-03-14,57,28,0,0,0
1955-03-15,62,37,0.3,0,0
1955-03-16,42,23,0.01,0,0
1955-03-17,34,18,0,0,0
1955-03-18,41,24, T, T,0
1955-03-19,46,18,0,0,0
1955-03-20,55,29,0.18,0,0
1955-03-21,56,41,0.4,0,0
1955-03-22,56,22,0.1,0.3,0
1955-03-23,49,25,0,0, T
1955-03-24,45,28,0,0,0
1955-03-25,37,26,0.04,1.2,0
1955-03-26,28,21,0.27,3.1,2
1955-03-27,29,18,0.01,0.1,4
1955-03-28,36,12,0,0,4
1955-03-29,46,25,0,0,1
1955-03-30,54,25,0,0, T
1955-03-31,62,30,0,0,0
1955-04-01,68,36,0,0,0
1955-04-02,69,36,0,0,0
1955-04-03,58,34,0,0,0
1955-04-04,52,29,0,0,0
1955-04-05,74,41,0.06,0,0
1955-04-06,60,38,0,0,0
1955-04-07,47,31, T, T,0
1955-04-08,62,28,0,0,0
1955-04-09,70,41,0,0,0
1955-04-10,78,45,0,0,0
1955-04-11,71,46,0.26,0,0
1955-04-12,73,49,0.01,0,0
1955-04-13,76,56,0.01,0,0
1955-04-14,70,53,0.29,0,0
1955-04-15,55,47, T,0,0
1955-04-16,73,39,0,0,0
1955-04-17,71,50,0,0,0
1955-04-18,76,44,0.01,0,0
1955-04-19,72,54,0.44,0,0
1955-04-20,72,48, T,0,0
1955-04-21,76,54,0,0,0
1955-04-22,73,50,0,0,0
1955-04-23,59,41,0,0,0
1955-04-24,72,49,1.12,0,0
1955-04-25,57,47,0.02,0,0
1955-04-26,57,43, T,0,0
1955-04-27,61,40,0,0,0
1955-04-28,71,39,0,0,0
1955-04-29,74,42,0,0,0
1955-04-30,73,45,0,0,0
1955-05-01,79,45,0,0,0
1955-05-02,80,54,0,0,0
1955-05-03,86,59,0,0,0
1955-05-04,88,60,0.08,0,0
1955-05-05,72,53,0,0,0
1955-05-06,71,44,0,0,0
1955-05-07,75,50,0.04,0,0
1955-05-08,58,40,0,0,0
1955-05-09,55,30,0.13,0,0
1955-05-10,59,45,0.19,0,0
1955-05-11,70,41,0,0,0
1955-05-12,76,46,0,0,0
1955-05-13,69,55,0,0,0
1955-05-14,70,51,0,0,0
1955-05-15,74,43,0,0,0
1955-05-16,82,43,0,0,0
1955-05-17,61,40,0,0,0
1955-05-18,73,37,0,0,0
1955-05-19,81,53,0.15,0,0
1955-05-20,80,49,0,0,0
1955-05-21,77,47,0,0,0
1955-05-22,80,60,0.06,0,0
1955-05-23,80,65,0.06,0,0
1955-05-24,86,65,0.41,0,0
1955-05-25,66,55,0.04,0,0
1955-05-26,71,53,0,0,0
1955-05-27,85,56,0,0,0
1955-05-28,77,63,0.21,0,0
1955-05-29,68,55,0.01,0,0
1955-05-30,63,47, T,0,0
1955-05-31,73,46,0,0,0
1955-06-01,79,50,0,0,0
1955-06-02,79,50,0,0,0
1955-06-03,80,49,0,0,0
1955-06-04,88,60,0,0,0
1955-06-05,90,61, T,0,0
1955-06-06,87,62,0.22,0,0
1955-06-07,69,59,0.16,0,0
1955-06-08,64,55,0.12,0,0
1955-06-09,70,57,0,0,0
1955-06-10,70,54,0.02,0,0
1955-06-11,70,55,0.32,0,0
1955-06-12,67,49,0.12,0,0
1955-06-13,58,52, T,0,0
1955-06-14,71,50,0.02,0,0
