Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1893-01-01,58,32,0, M, M
1893-01-02,58,31,0, M, M
1893-01-03,68,29,0, M, M
1893-01-04,64,48,0, M, M
1893-01-05,63,32,0, M, M
1893-01-06,58,35,0, M, M
1893-01-07,65,29,0, M, M
1893-01-08,63,29,0, M, M
1893-01-09,63,29,0, M, M
1893-01-10,59,32,0, M, M
1893-01-11,57,29,0, M, M
1893-01-12,59,31,0, M, M
1893-01-13,59,40, T, M, M
1893-01-14,53,40,0.1, M, M
1893-01-15,53,41,0.78, M, M
1893-01-16,49,39,0.13, M, M
1893-01-17,57,29,0, M, M
1893-01-18,50,30,0, M, M
1893-01-19,57,29,0, M, M
1893-01-20,58,29,0, M, M
1893-01-21,59,27,0, M, M
1893-01-22,50,27,0, M, M
1893-01-23,50,27,0, M, M
1893-01-24,59,27,0, M, M
1893-01-25,48,30,0, M, M
1893-01-26,47,44,1.58, M, M
1893-01-27,46,38,0.78, M, M
1893-01-28,44,35,0.13, M, M
1893-01-29,44,30,0.68, M, M
1893-01-30,47,32,0.57, M, M
1893-01-31,45,28,0, M, M
1893-02-01,38,24,0.32, M, M
1893-02-02,44,27,0, M, M
1893-02-03,48,38,1.25, M, M
1893-02-04,48,38,2.3, M, M
1893-02-05,48,35,0.53, M, M
1893-02-06,47,32,0, M, M
1893-02-07,49,27,0, M, M
1893-02-08,49,39,0.9, M, M
1893-02-09,51,38,0.55, M, M
1893-02-10,60,46,0.05, M, M
1893-02-11,58,47,0.4, M, M
1893-02-12,53,42,0.45, M, M
1893-02-13,49,32, T, M, M
1893-02-14,58,27,0, M, M
1893-02-15,58,27,0, M, M
1893-02-16,59,35,0, M, M
1893-02-17,61,37,0, M, M
1893-02-18,60,35,0, M, M
1893-02-19,59,33,0, M, M
1893-02-20,58,33,0, M, M
1893-02-21,59,32,0, M, M
1893-02-22,60,32,0, M, M
1893-02-23,61,31,0, M, M
1893-02-24,59,31,0, M, M
1893-02-25,52,30,0, M, M
1893-02-26,56,29,0, M, M
1893-02-27,58,29,0, M, M
1893-02-28,56,32,0, M, M
1893-03-01,56,32,0, M, M
1893-03-02,50,32,0, M, M
1893-03-03,50,35,0.2, M, M
1893-03-04,48,43,1.2, M, M
1893-03-05,52,38,0.45, M, M
1893-03-06,56,33,0, M, M
1893-03-07,45,35,0.4, M, M
1893-03-08,43,35,0.7, M, M
1893-03-09,47,29,0, M, M
1893-03-10,48,38,0.78, M, M
1893-03-11,45,35,1.8, M, M
1893-03-12,59,35,0, M, M
1893-03-13,59,29,0, M, M
1893-03-14,46,39,0.15, M, M
1893-03-15,54,38,0.16, M, M
1893-03-16,50,39,0.53, M, M
1893-03-17,52,45,0.28, M, M
1893-03-18,54,45,0.82, M, M
1893-03-19,62,45,0.3, M, M
1893-03-20,55,46,0.24, M, M
1893-03-21,50,40,0.19, M, M
1893-03-22,54,38,0, M, M
1893-03-23,52,38,0.06, M, M
1893-03-24,54,39, T, M, M
1893-03-25,55,36,0, M, M
1893-03-26,63,40,0, M, M
1893-03-27,72,39,0, M, M
1893-03-28,65,39,0, M, M
1893-03-29,60,42,0, M, M
1893-03-30,58,37,0.1, M, M
1893-03-31,60,32,0, M, M
1893-04-01,60,32,0, M, M
1893-04-02,62,43, T, M, M
1893-04-03,60,47,0.2, M, M
1893-04-04,56,49,0.09, M, M
1893-04-05,52, M,2.28, M, M
1893-04-06, M,37,0.45, M, M
1893-04-07,52,35,0.3, M, M
1893-04-08,57,38,0.11, M, M
1893-04-09,58,36,0.05, M, M
1893-04-10,52,34,0, M, M
1893-04-11,50,36,0.11, M, M
1893-04-12,54,34,0.11, M, M
1893-04-13,60,32,0, M, M
1893-04-14,63,39,0, M, M
1893-04-15,72,34,0, M, M
1893-04-16,64,36,0, M, M
1893-04-17,65,35,0, M, M
1893-04-18,64,35,0, M, M
1893-04-19,70,35,0, M, M
1893-04-20,72,36,0, M, M
1893-04-21,60,38,0, M, M
1893-04-22,54,47,0.19, M, M
1893-04-23,54,39,0.18, M, M
1893-04-24,75,34,0.05, M, M
1893-04-25,69,35,0, M, M
1893-04-26,68,37,0, M, M
1893-04-27,58,43,0, M, M
1893-04-28,58,47,0, M, M
1893-04-29,62,38,0, M, M
1893-04-30,66,42,0, M, M
1893-05-01,59,37,0, M, M
1893-05-02,60,42,0.18, M, M
1893-05-03,67,40,0, M, M
1893-05-04,63,40,0, M, M
1893-05-05,68,45,0, M, M
1893-05-06,84,43,0, M, M
1893-05-07,84,44,0, M, M
1893-05-08,68,50,0.04, M, M
1893-05-09,72,41,0, M, M
1893-05-10,87,41,0, M, M
1893-05-11,86,47,0, M, M
1893-05-12,86,51,0, M, M
1893-05-13,78,43,0, M, M
1893-05-14,82,45,0, M, M
1893-05-15, M, M,0, M, M
1893-05-16,68,50,0.43, M, M
