Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1851-03-21,56, M, M, M, M
1851-03-22,47, M, M, M, M
1851-03-23,41, M, M, M, M
1851-03-24,56, M, M, M, M
1851-03-25,57, M, M, M, M
1851-03-26,59, M, M, M, M
1851-03-27,70, M, M, M, M
1851-03-28,75, M, M, M, M
1851-03-29,60, M, M, M, M
1851-03-30,66, M, M, M, M
1851-03-31,76, M, M, M, M
1851-04-01,63,53, M, M, M
1851-04-02,67,47, M, M, M
1851-04-03,67,52, M, M, M
1851-04-04,68,46, M, M, M
1851-04-05,68,51, M, M, M
1851-04-06,72,59, M, M, M
1851-04-07,63,42, M, M, M
1851-04-08,70,50, M, M, M
1851-04-09,62,44, M, M, M
1851-04-10,69,44, M, M, M
1851-04-11,61,47, M, M, M
1851-04-12,52,33, M, M, M
1851-04-13,45,39, M, M, M
1851-04-14,46,32, M, M, M
1851-04-15,53,35, M, M, M
1851-04-16,50,40, M, M, M
1851-04-17,54,42, M, M, M
1851-04-18,60,40, M, M, M
1851-04-19,61,46, M, M, M
1851-04-20,57,46, M, M, M
1851-04-21,53,41, M, M, M
1851-04-22,62,37, M, M, M
1851-04-23,72,46, M, M, M
1851-04-24,72,51, M, M, M
1851-04-25,76,50, M, M, M
1851-04-26,69,50, M, M, M
1851-04-27,70,49, M, M, M
1851-04-28,59,49, M, M, M
1851-04-29,65,42, M, M, M
1851-04-30,69,49, M, M, M
1851-05-01,66,49, M, M, M
1851-05-02,58,37, M, M, M
1851-05-03,68,37, M, M, M
1851-05-04,62, M, M, M, M
1851-05-05, M,32, M, M, M
1851-05-06,59,36, M, M, M
1851-05-07,64,38, M, M, M
1851-05-08,72,45, M, M, M
1851-05-09,81,49, M, M, M
1851-05-10,84,53, M, M, M
1851-05-11,89,60, M, M, M
1851-05-12,88,60, M, M, M
1851-05-13,92,65, M, M, M
1851-05-14,77,65, M, M, M
1851-05-15,78,50, M, M, M
1851-05-16,75,53, M, M, M
1851-05-17,81,60, M, M, M
1851-05-18,78,65, M, M, M
1851-05-19,72,63, M, M, M
1851-05-20,83,63, M, M, M
1851-05-21,80,65, M, M, M
1851-05-22,86,62, M, M, M
1851-05-23,87, M, M, M, M
1851-05-24, M,49, M, M, M
1851-05-25,71,49, M, M, M
1851-05-26,78,50, M, M, M
1851-05-27,82,63, M, M, M
1851-05-28,89,67, M, M, M
1851-05-29,90, M, M, M, M
1851-05-30, M, M, M, M, M
1851-05-31, M,58, M, M, M
1851-06-01,71,56, M, M, M
1851-06-02,86,62, M, M, M
1851-06-03,80,62, M, M, M
1851-06-04,81,58, M, M, M
1851-06-05,77,59, M, M, M
1851-06-06,86,62, M, M, M
1851-06-07,82,62, M, M, M
1851-06-08,75,62, M, M, M
1851-06-09,80,65, M, M, M
1851-06-10,80,66, M, M, M
1851-06-11,88,61, M, M, M
1851-06-12,76,62, M, M, M
1851-06-13,74,62, M, M, M
1851-06-14,78,60, M, M, M
1851-06-15,80,60, M, M, M
1851-06-16,74,64, M, M, M
1851-06-17,67,55, M, M, M
1851-06-18,72,55, M, M, M
1851-06-19,79,57, M, M, M
1851-06-20,86,62, M, M, M
1851-06-21,87,69, M, M, M
1851-06-22,85,72, M, M, M
1851-06-23,87,72, M, M, M
1851-06-24,83,70, M, M, M
1851-06-25,85,67, M, M, M
1851-06-26,85,70, M, M, M
1851-06-27,89,72, M, M, M
1851-06-28,94,75, M, M, M
1851-06-29,99,77, M, M, M
1851-06-30,99,78, M, M, M
1851-07-01,86,71, M, M, M
1851-07-02,87,68, M, M, M
1851-07-03,90,76, M, M, M
1851-07-04,82,69, M, M, M
1851-07-05,83,64, M, M, M
1851-07-06,91,67, M, M, M
1851-07-07,93,74, M, M, M
1851-07-08,89,73, M, M, M
1851-07-09,94,76, M, M, M
1851-07-10,84,80, M, M, M
1851-07-11,82,74, M, M, M
1851-07-12,88,74, M, M, M
1851-07-13, M,75, M, M, M
1851-07-14,84,66, M, M, M
1851-07-15,82,70, M, M, M
1851-07-16,98,67, M, M, M
1851-07-17, M,78, M, M, M
1851-07-18,94,74, M, M, M
1851-07-19,87,74, M, M, M
1851-07-20, M, M, M, M, M
1851-07-21,87,63, M, M, M
1851-07-22,89,67, M, M, M
1851-07-23,92,74, M, M, M
1851-07-24, M,76, M, M, M
1851-07-25,92,72, M, M, M
1851-07-26,94,72, M, M, M
1851-07-27,85,72, M, M, M
1851-07-28,89,72, M, M, M
1851-07-29,82,65, M, M, M
1851-07-30,70,69, M, M, M
1851-07-31,72,62, M, M, M
1851-08-01,75,64, M, M, M
1851-08-02,81,62, M, M, M
1851-08-03,82,62, M, M, M
1851-08-04,83,62, M, M, M
1851-08-05,87,69, M, M, M
1851-08-06,87,73, M, M, M
1851-08-07,92,74, M, M, M
1851-08-08,89,72, M, M, M
1851-08-09,89,71, M, M, M
1851-08-10,80,69, M, M, M
1851-08-11,79,69, M, M, M
1851-08-12,85,72, M, M, M
1851-08-13,90,71, M, M, M
1851-08-14,89,74, M, M, M
1851-08-15,80,67, M, M, M
1851-08-16,84,62, M, M, M
1851-08-17,95,74, M, M, M
