Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1940-01-01,10,4,0, M, M
1940-01-02,11,3, T, M, M
1940-01-03,13,-5, T, M, M
1940-01-04,2,-9,0.01, M, M
1940-01-05,9,-4, T, M, M
1940-01-06,20,0, T, M, M
1940-01-07,20,-3, T, M, M
1940-01-08,20,5, T, M, M
1940-01-09,22,5,0.03, M, M
1940-01-10,26,17, T, M, M
1940-01-11,30,23,0.1, M, M
1940-01-12,29,3,0, M, M
1940-01-13,23,3,0.11, M, M
1940-01-14,29,21,0.27, M, M
1940-01-15,22,-12,0, M, M
1940-01-16,0,-18, T, M, M
1940-01-17,-2,-16,0, M, M
1940-01-18,-12,-21,0, M, M
1940-01-19,12,-12,0.02, M, M
1940-01-20,14,6,0.01, M, M
1940-01-21,18,7, T, M, M
1940-01-22,18,-5, T, M, M
1940-01-23,15,-14,0.01, M, M
1940-01-24,20,3,0.09, M, M
1940-01-25,3,-9,0, M, M
1940-01-26,13,-8,0, M, M
1940-01-27,18,-6,0, M, M
1940-01-28,22,-14,0, M, M
1940-01-29,28,13, T, M, M
1940-01-30,28,8,0, M, M
1940-01-31,26,21, T, M, M
1940-02-01, M, M, M, M, M
1940-02-02, M, M, M, M, M
1940-02-03, M, M, M, M, M
1940-02-04, M, M, M, M, M
1940-02-05, M, M, M, M, M
1940-02-06, M, M, M, M, M
1940-02-07, M, M, M, M, M
1940-02-08, M, M, M, M, M
1940-02-09, M, M, M, M, M
1940-02-10, M, M, M, M, M
1940-02-11, M, M, M, M, M
1940-02-12, M, M, M, M, M
1940-02-13, M, M, M, M, M
1940-02-14, M, M, M, M, M
1940-02-15, M, M, M, M, M
1940-02-16, M, M, M, M, M
1940-02-17, M, M, M, M, M
1940-02-18, M, M, M, M, M
1940-02-19, M, M, M, M, M
1940-02-20, M, M, M, M, M
1940-02-21, M, M, M, M, M
1940-02-22, M, M, M, M, M
1940-02-23, M, M, M, M, M
1940-02-24, M, M, M, M, M
1940-02-25, M, M, M, M, M
1940-02-26, M, M, M, M, M
1940-02-27, M, M, M, M, M
1940-02-28, M, M, M, M, M
1940-02-29, M, M, M, M, M
1940-03-01,27,23, T, M, M
1940-03-02,33,24,0, M, M
1940-03-03,42,21,0, M, M
1940-03-04,33,23,0, M, M
1940-03-05,30,14,0, M, M
1940-03-06,30,7,0, M, M
1940-03-07,32,9,0, M, M
1940-03-08,31,10,0, M, M
1940-03-09,24,11,0, M, M
1940-03-10,21,5,0, M, M
1940-03-11,24,2,0, M, M
