Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1982-01-01,68,54, T,0,0
1982-01-02,63,46,0.02,0,0
1982-01-03,60,36,0,0,0
1982-01-04,67,37,0,0,0
1982-01-05,70,50,0,0,0
1982-01-06,66,47,0,0,0
1982-01-07,54,41,0,0,0
1982-01-08,61,43,0,0,0
1982-01-09,68,49,0,0,0
1982-01-10,66,48,0.11,0,0
1982-01-11,69,47,0.01,0,0
1982-01-12,70,50,0,0,0
1982-01-13,67,44,0,0,0
1982-01-14,66,42,0,0,0
1982-01-15,71,42,0,0,0
1982-01-16,73,44,0,0,0
1982-01-17,75,43,0,0,0
1982-01-18,68,44,0,0,0
1982-01-19,66,50,0,0,0
1982-01-20,66,44,0,0,0
1982-01-21,56,45,0.08,0,0
1982-01-22,60,37,0,0,0
1982-01-23,62,38,0,0,0
1982-01-24,69,44,0,0,0
1982-01-25,74,47,0,0,0
1982-01-26,77,47,0,0,0
1982-01-27,73,45,0,0,0
1982-01-28,68,51,0,0,0
1982-01-29,66,45,0,0,0
1982-01-30,69,45,0,0,0
1982-01-31,72,43,0,0,0
1982-02-01,67,43,0,0,0
1982-02-02,67,46,0,0,0
1982-02-03,71,40,0,0,0
1982-02-04,68,44,0,0,0
1982-02-05,61,46,0,0,0
1982-02-06,58,45,0,0,0
1982-02-07,61,46,0,0,0
1982-02-08,64,48,0,0,0
1982-02-09,69,47, T,0,0
1982-02-10,70,49,0.02,0,0
1982-02-11,69,54,0,0,0
1982-02-12,67,48,0,0,0
1982-02-13,75,50,0,0,0
1982-02-14,81,53,0,0,0
1982-02-15,82,53,0,0,0
1982-02-16,82,55,0,0,0
1982-02-17,84,53,0,0,0
1982-02-18,78,61,0,0,0
1982-02-19,82,60,0,0,0
1982-02-20,87,56,0,0,0
1982-02-21,90,53,0,0,0
1982-02-22,91,55,0,0,0
1982-02-23,86,61,0,0,0
1982-02-24,65,57,0.16,0,0
1982-02-25,74,54,0,0,0
1982-02-26,79,52,0,0,0
1982-02-27,83,57,0,0,0
1982-02-28,85,55,0,0,0
1982-03-01,81,57,0.01,0,0
1982-03-02,77,58, T,0,0
1982-03-03,72,51,0,0,0
1982-03-04,76,47,0,0,0
1982-03-05,73,50,0,0,0
1982-03-06,77,50,0,0,0
1982-03-07,79,47,0,0,0
1982-03-08,81,56,0,0,0
1982-03-09,87,52,0,0,0
1982-03-10,88,61,0,0,0
1982-03-11,75,62,0.02,0,0
1982-03-12,69,55,0.71,0,0
1982-03-13,73,49,0,0,0
1982-03-14,71,54,0.58,0,0
1982-03-15,68,50,0,0,0
1982-03-16,67,51,0,0,0
1982-03-17,71,47,0,0,0
1982-03-18,64,50,0.16,0,0
1982-03-19,66,44,0,0,0
1982-03-20,71,48,0,0,0
1982-03-21,75,49,0,0,0
1982-03-22,77,53,0,0,0
1982-03-23,80,53,0,0,0
1982-03-24,85,52,0,0,0
1982-03-25,85,53,0,0,0
1982-03-26,76,59,0.3,0,0
1982-03-27,80,56,0,0,0
1982-03-28,77,56,0,0,0
1982-03-29,68,61,0,0,0
1982-03-30,73,49,0,0,0
1982-03-31,80,53,0,0,0
1982-04-01,79,54, T,0,0
1982-04-02,72,46,0,0,0
1982-04-03,79,53,0,0,0
1982-04-04,80,57,0,0,0
1982-04-05,85,52,0,0,0
1982-04-06,79,54,0,0,0
1982-04-07,75,53,0,0,0
1982-04-08,81,50,0,0,0
1982-04-09,84,64,0,0,0
1982-04-10,90,62,0,0,0
1982-04-11,92,68,0,0,0
1982-04-12,88,67,0,0,0
1982-04-13,88,62,0,0,0
1982-04-14,86,62,0,0,0
1982-04-15,80,59,0,0,0
1982-04-16,87,57,0,0,0
1982-04-17,87,57,0,0,0
1982-04-18,91,59,0,0,0
1982-04-19,94,62,0,0,0
1982-04-20,84,66,0,0,0
1982-04-21,75,50,0,0,0
1982-04-22,81,51,0,0,0
1982-04-23,87,55,0,0,0
1982-04-24,88,58,0,0,0
1982-04-25,90,60,0,0,0
1982-04-26,92,67,0,0,0
1982-04-27,93,63,0,0,0
1982-04-28,94,64,0,0,0
1982-04-29,92,66,0,0,0
1982-04-30,94,66,0,0,0
1982-05-01,93,68,0,0,0
1982-05-02,91,72, T,0,0
1982-05-03,88,68, T,0,0
1982-05-04,80,63, T,0,0
1982-05-05,86,60,0,0,0
1982-05-06,96,65,0,0,0
1982-05-07,99,65,0,0,0
1982-05-08,94,65,0,0,0
1982-05-09,79,59,0,0,0
1982-05-10,77,57,0,0,0
1982-05-11,76,55,0,0,0
1982-05-12,85,52,0,0,0
1982-05-13,92,58,0,0,0
1982-05-14,95,65,0,0,0
1982-05-15,92,64,0,0,0
1982-05-16,100,65,0,0,0
1982-05-17,100,70,0,0,0
1982-05-18,98,70,0,0,0
1982-05-19,95,62,0,0,0
1982-05-20,98,65,0,0,0
1982-05-21,97,65,0,0,0
1982-05-22,97,66,0,0,0
1982-05-23,100,66,0,0,0
1982-05-24,101,71,0,0,0
1982-05-25,100,72,0,0,0
1982-05-26,87,68,0,0,0
1982-05-27,86,64,0,0,0
1982-05-28,91,66,0,0,0
1982-05-29,96,68,0,0,0
1982-05-30,95,62,0,0,0
1982-05-31,100,67,0,0,0
1982-06-01,96,68,0,0,0
1982-06-02,96,64,0,0,0
1982-06-03,96,65,0,0,0
1982-06-04,99,68,0,0,0
1982-06-05,92,68,0,0,0
1982-06-06,96,64,0,0,0
1982-06-07,94,64,0,0,0
1982-06-08,95,68,0,0,0
1982-06-09,100,66,0,0,0
1982-06-10,101,67,0,0,0
1982-06-11,104,70,0,0,0
1982-06-12,99,71,0,0,0
1982-06-13,97,72,0,0,0
1982-06-14,97,65,0,0,0
1982-06-15,101,71,0,0,0
1982-06-16,101,71,0,0,0
1982-06-17,100,71,0,0,0
1982-06-18,98,72,0,0,0
1982-06-19,100,73,0,0,0
1982-06-20,100,71,0,0,0
1982-06-21,97,70,0,0,0
1982-06-22,97,66,0,0,0
1982-06-23,100,67,0,0,0
1982-06-24,103,71,0,0,0
1982-06-25,104,74,0,0,0
1982-06-26,107,73,0,0,0
1982-06-27,108,77,0,0,0
1982-06-28,105,76,0,0,0
1982-06-29,103,73,0,0,0
1982-06-30,91,71,0,0,0
1982-07-01,95,68,0,0,0
1982-07-02,103,71,0,0,0
1982-07-03,103,76,0,0,0
1982-07-04,103,79,0,0,0
1982-07-05,99,74,0,0,0
1982-07-06,95,78,0,0,0
1982-07-07,97,75,0,0,0
1982-07-08,102,76,0,0,0
1982-07-09,107,77,0,0,0
1982-07-10,108,76,0,0,0
1982-07-11,111,79,0,0,0
1982-07-12,111,79,0,0,0
1982-07-13,111,81,0,0,0
1982-07-14,113,83,0,0,0
1982-07-15,103,85,0,0,0
1982-07-16,107,84,0,0,0
1982-07-17,108,80,0,0,0
1982-07-18,106,83,0,0,0
1982-07-19,108,80,0,0,0
1982-07-20,106,80,0,0,0
1982-07-21,107,84,0,0,0
1982-07-22,106,84, T,0,0
